metric,model_or_method,field,lead_days,mean,p10,p90
rmse,model,surface_speed,0,0.0,0.0,0.0
rmse,model,surface_speed,10,0.00039433535615292686,0.00032763160998001696,0.0004891486605629325
rmse,model,surface_speed,20,0.00059532739687711,0.00047829954419285057,0.0008595814928412436
rmse,model,surface_speed,30,0.000740098429378122,0.0005665619275532663,0.0010998090729117393
rmse,model,surface_speed,40,0.000882376489850382,0.000671105517540127,0.0014290539314970373
rmse,model,surface_speed,50,0.001010123147473981,0.0007436876301653683,0.0018181497696787116
rmse,model,surface_speed,60,0.0011083998872588078,0.0008235849672928452,0.001823764760047197
rmse,model,surface_speed,70,0.0011951480410061777,0.0009252727730199694,0.0017985802609473463
rmse,model,surface_speed,80,0.0012558708394256731,0.0009863741463050247,0.0017995515838265417
rmse,model,surface_speed,90,0.0013287835055962205,0.0010777026880532503,0.0018170955823734402
rmse,model,surface_speed,100,0.001395535694124798,0.0010999792721122503,0.0018661995651200413
rmse,model,surface_speed,110,0.0014832928931961457,0.0011948903324082495,0.0020279160235077143
rmse,model,surface_speed,120,0.0016047267708927393,0.0012815194437280296,0.002181312907487154
rmse,model,surface_speed,130,0.0017434444821750124,0.0013641331577673554,0.0022721933666616677
rmse,model,surface_speed,140,0.001890396427673598,0.0014452528906986118,0.0023500877898186444
rmse,model,surface_speed,150,0.0020202746226762732,0.0015528601594269275,0.0024762275163084267
rmse,model,surface_speed,160,0.0021314729237928987,0.0016556991031393409,0.00259311581030488
rmse,model,surface_speed,170,0.0022525439349313577,0.0017284127417951823,0.0029831904452294108
rmse,model,surface_speed,180,0.0023872362139324347,0.0017799648456275463,0.0034128447528928513
rmse,model,surface_speed,190,0.002555486847025653,0.0018567636841908097,0.003420227067545056
rmse,model,surface_speed,200,0.0027044158040856322,0.0019640409853309395,0.0034403164871037004
rmse,model,surface_speed,210,0.0028713665436953307,0.0020474975928664206,0.0037834221497178074
rmse,model,surface_speed,220,0.0030458036654939253,0.002139523020014167,0.004201756045222282
rmse,model,surface_speed,230,0.0032173839397728445,0.0022143236827105285,0.004412544891238213
rmse,model,surface_speed,240,0.0033849522316207487,0.0023078647907823326,0.004791895113885403
rmse,model,surface_speed,250,0.0035200000430146853,0.002400969201698899,0.005017434805631637
rmse,model,surface_speed,260,0.0036391895574827988,0.0025169310625642537,0.005062649305909872
rmse,model,surface_speed,270,0.0037446215748786925,0.002601025206968188,0.004965029004961252
rmse,model,surface_speed,280,0.0038605345878750088,0.002672120090574026,0.004954420868307352
rmse,model,surface_speed,290,0.004008271017422279,0.002809014543890953,0.004931012634187937
rmse,model,surface_speed,300,0.0041619342130919295,0.0029425626620650292,0.005096187442541122
rmse,model,surface_speed,310,0.0043065967659155525,0.0030179799534380434,0.0055223173461854454
rmse,model,surface_speed,320,0.004460359783843159,0.003149239765480161,0.005861943773925305
rmse,model,surface_speed,330,0.0046079925882319605,0.003273820551112294,0.005921422690153122
rmse,model,surface_speed,340,0.00476493042272826,0.0033809933811426163,0.006018452439457178
rmse,model,surface_speed,350,0.004924252443015575,0.003525533340871334,0.006312667485326528
rmse,model,surface_speed,360,0.005087163796027501,0.0036988403648138047,0.006541466061025858
rmse,model,surface_speed,370,0.005263292013357083,0.00385942324064672,0.00668153315782547
rmse,model,surface_speed,380,0.005451297760009766,0.004054120276123285,0.006919434946030378
rmse,model,surface_speed,390,0.005651089486976465,0.004265294969081878,0.007239537872374057
rmse,model,surface_speed,400,0.005858977480481069,0.004504797514528036,0.007618047297000885
rmse,model,surface_speed,410,0.006104040332138539,0.004775426350533962,0.007962522841989993
rmse,model,surface_speed,420,0.006338224156449238,0.005102632846683264,0.008289993740618229
rmse,model,surface_speed,430,0.006560846138745547,0.005339687783271074,0.008512815088033676
rmse,model,surface_speed,440,0.006816709134727717,0.00556548461318016,0.008804097771644592
rmse,model,surface_speed,450,0.007059331921239694,0.005768775288015604,0.009130526334047318
rmse,model,surface_speed,460,0.007310828814903895,0.005988155305385589,0.009459561668336391
rmse,model,surface_speed,470,0.007542804845919212,0.006224380247294903,0.009811941906809807
rmse,model,surface_speed,480,0.007787054032087326,0.0064246440306305885,0.01018255390226841
rmse,model,surface_speed,490,0.008021166765441496,0.006653962470591068,0.010432600602507591
rmse,model,surface_speed,500,0.00824414895226558,0.006794077809900045,0.01077927965670824
rmse,model,surface_speed,510,0.008484792057424783,0.0069141235202550885,0.011038473434746265
rmse,model,surface_speed,520,0.008758002178122599,0.007217905391007662,0.011329255811870099
rmse,model,surface_speed,530,0.009026975215723118,0.007478510029613972,0.011499095894396304
rmse,model,surface_speed,540,0.00928974865625302,0.007714009005576372,0.011681358888745308
rmse,model,surface_speed,550,0.009545426970968643,0.007985244784504176,0.011892246268689632
rmse,model,surface_speed,560,0.009787225692222516,0.008234847150743008,0.012043691240251064
rmse,model,surface_speed,570,0.010027341327319543,0.008555399440228938,0.012163096107542515
rmse,model,surface_speed,580,0.010316592454910279,0.008808810077607632,0.012516046315431595
rmse,model,surface_speed,590,0.010587649668256443,0.008926817029714585,0.012786167673766613
rmse,model,surface_speed,600,0.010860037865738074,0.009167588502168655,0.01311944704502821
rmse,model,surface_speed,610,0.011156633123755455,0.009611890651285648,0.01348067782819271
rmse,model,surface_speed,620,0.011506050576766331,0.009974280744791031,0.01388865727931261
rmse,model,surface_speed,630,0.011859213126202424,0.010140121541917324,0.014219122938811779
rmse,model,surface_speed,640,0.012179713820417722,0.01043931283056736,0.014637835137546063
rmse,model,surface_speed,650,0.012516928898791472,0.010736238025128842,0.015158829651772976
rmse,model,surface_speed,660,0.012867275315026442,0.01088253390043974,0.015511421114206314
rmse,model,surface_speed,670,0.013194715976715088,0.011020995303988456,0.015848952904343606
rmse,model,surface_speed,680,0.013503895762066046,0.011265184357762336,0.016293113678693773
rmse,model,surface_speed,690,0.013821579640110333,0.011532146483659744,0.01666902080178261
rmse,model,surface_speed,700,0.014172239974141122,0.011717921495437622,0.016961946338415145
rmse,model,surface_speed,710,0.01451693419367075,0.012132860906422138,0.017343593016266822
rmse,model,surface_speed,720,0.014867911549905936,0.012559187412261964,0.01778651252388954
rmse,model,surface_speed,730,0.015201882148782412,0.012755168788135051,0.01815732419490814
rmse,model,surface_speed,740,0.015544290033479532,0.01304170060902834,0.018491753935813905
rmse,model,surface_speed,750,0.015935754651824632,0.013487134873867036,0.018926413729786873
rmse,model,surface_speed,760,0.016301768956085046,0.013817580044269561,0.019425610825419427
rmse,model,surface_speed,770,0.01665711117287477,0.014050776883959771,0.019800972566008566
rmse,model,surface_speed,780,0.01702926103025675,0.01433839313685894,0.02018079347908497
rmse,model,surface_speed,790,0.017439313232898712,0.014791212603449821,0.020651767030358315
rmse,model,surface_speed,800,0.017857057663301628,0.015118062123656273,0.021106059849262237
rmse,model,surface_speed,810,0.01826450377702713,0.015364966541528701,0.021612474322319032
rmse,model,surface_speed,820,0.01870773279418548,0.01567325070500374,0.02216055616736412
rmse,model,surface_speed,830,0.019165720976889133,0.01589750833809376,0.022685733437538148
rmse,model,surface_speed,840,0.019603969529271126,0.01618400774896145,0.02317032478749752
rmse,model,surface_speed,850,0.020015336697300275,0.0164511039853096,0.023523592203855515
rmse,model,surface_speed,860,0.020413747057318687,0.01677480712532997,0.023603009060025215
rmse,model,surface_speed,870,0.020859638477365175,0.01707548350095749,0.023743388801813124
rmse,model,surface_speed,880,0.021309527630607287,0.017408040910959245,0.02408742904663086
rmse,model,surface_speed,890,0.021779672925670943,0.01774343252182007,0.024432995542883872
rmse,model,surface_speed,900,0.022205819934606554,0.01812850311398506,0.024659985676407814
rmse,model,surface_speed,910,0.022602220127979914,0.018500077351927758,0.02486642748117447
