scope,field,method,lead_days,mean_rmse,ratio_to_persistence,ratio_to_climatology
training_gate,surface_speed,model,10,0.0004648894963288007,0.20640796533925218,0.12186991813469707
training_gate,surface_speed,model,20,0.0006459271440420437,0.19757217553906747,0.16949612471349323
training_gate,surface_speed,model,30,0.0007645661823550688,0.1963080418161346,0.20067134863909233
training_gate,surface_speed,model,40,0.0008812255579094333,0.18791101378748848,0.23153756278079204
training_gate,surface_speed,model,50,0.0009892638448272244,0.19363177850210764,0.2600059194676521
training_gate,surface_speed,model,60,0.0010828156087814864,0.20164720651945447,0.2846380326420274
training_gate,surface_speed,model,70,0.0011742213984554703,0.21372551341259113,0.30912941883053474
training_gate,surface_speed,model,80,0.0012580592103336972,0.2262384009387748,0.3312752620825395
training_gate,surface_speed,model,90,0.001346041005604935,0.2387384455341771,0.354366067898894
training_gate,sst,model,10,0.004136615651400967,0.19455434773622984,0.10556927211464903
training_gate,sst,model,20,0.0061806889285367945,0.17545615014007068,0.15794179316828347
training_gate,sst,model,30,0.007544832491678082,0.16730559570309284,0.19297558938303874
training_gate,sst,model,40,0.008744985981913353,0.1638341720992463,0.22386915251822462
training_gate,sst,model,50,0.009919129269783972,0.17180486227765127,0.2541773698486045
training_gate,sst,model,60,0.010998722772044991,0.18593077308065392,0.2820651856840226
training_gate,sst,model,70,0.011995237412931467,0.20340363189383215,0.3080682584666993
training_gate,sst,model,80,0.012996712247668593,0.22256236032016657,0.3340716894066686
training_gate,sst,model,90,0.013958141350842737,0.23877783920770987,0.3587546188042456
training_gate,phihyd_surface,model,10,0.0026471484400745894,0.2713653432134869,0.04826842071881116
training_gate,phihyd_surface,model,20,0.004161011213781657,0.2787749840881697,0.07608605295912065
training_gate,phihyd_surface,model,30,0.005517450206982041,0.29456131081679804,0.10106449435953506
training_gate,phihyd_surface,model,40,0.006776785948831174,0.2902897223335567,0.12442272714477795
training_gate,phihyd_surface,model,50,0.007971804303168836,0.2984578613621526,0.14670027829884497
training_gate,phihyd_surface,model,60,0.009095163070769222,0.31218699653168297,0.16766710959019596
training_gate,phihyd_surface,model,70,0.010158964913959305,0.33120274178726006,0.18780094637416578
training_gate,phihyd_surface,model,80,0.011182167366388496,0.35384073896973667,0.20711861954441668
training_gate,phihyd_surface,model,90,0.012153787455625004,0.3813535784385081,0.22547396768833214
training_gate,streamfunction,model,10,0.07394415530962524,0.7511096147070938,0.33666988291581473
training_gate,streamfunction,model,20,0.1160075559867201,0.6578158847424271,0.5296029360008827
training_gate,streamfunction,model,30,0.1612850485024629,0.6621258604760478,0.7353767017521496
training_gate,streamfunction,model,40,0.20693101747030462,0.6821232186043116,0.9439112118618903
training_gate,streamfunction,model,50,0.252186417510664,0.7245803567785112,1.1514517946197382
training_gate,streamfunction,model,60,0.2963731300913625,0.7788394907627889,1.351130482267402
