phase,arm,field,lead_days,mean_rmse,p10,p90
training,0.0,surface_speed,0,1.213457367124317e-10,1.0134465186999056e-10,1.3964699126898203e-10
training,0.0,surface_speed,10,0.00031872489497206927,0.0002831766641774508,0.00038181776004109924
training,0.0,surface_speed,20,0.00042785803480740894,0.0003610891290453121,0.0005238431216393778
training,0.0,surface_speed,30,0.0004947562376739287,0.0004091588742072874,0.0006474534855117241
training,0.0,surface_speed,40,0.0005776063933422886,0.00046940203984648197,0.0007078644127112275
training,0.0,surface_speed,50,0.000633634464592219,0.000511436385932615,0.0007988978051931152
training,0.0,surface_speed,60,0.0006918747843605293,0.0005614491152670082,0.0008574180703828184
training,0.0,surface_speed,70,0.0007478537683570439,0.0006280272766309437,0.0008871379029296921
training,0.0,surface_speed,80,0.0007982978276335113,0.0006551061407396269,0.000957501839192946
training,0.0,surface_speed,90,0.0008709625293577602,0.000703997591590581,0.0010722904746393114
training,0.0,surface_speed,100,0.0009316886481018201,0.000690849480827312,0.0011473554940082762
training,0.0,surface_speed,110,0.000974195469082306,0.0006957425986624503,0.0012154645873467536
training,0.0,surface_speed,120,0.0010461182935314565,0.0007697710290481151,0.0013094561223132308
training,0.0,surface_speed,130,0.0011370147661304486,0.0008065686771163708,0.001542179476318183
training,0.0,surface_speed,140,0.0012487917886650714,0.0008724380668311967,0.001845768360466008
training,0.0,surface_speed,150,0.0013762894176994748,0.0009135008646579124,0.0019521970821971622
training,0.0,surface_speed,160,0.0014970872976630908,0.0009406657263306456,0.0021147195719842895
training,0.0,surface_speed,170,0.001582658536952795,0.000988958862151034,0.002653581691167833
training,0.0,surface_speed,180,0.0016769145256971788,0.0010755672173003035,0.0025325199518034525
training,0.0,surface_speed,190,0.0017475207315276909,0.0011525953361889228,0.002527550911115946
training,0.0,surface_speed,200,0.0018059967927411846,0.0012390268963453459,0.002600035975230253
training,0.0,surface_speed,210,0.0018830956951337307,0.001353131368033432,0.002670404821015493
training,0.0,surface_speed,220,0.001991774151649632,0.0014920632564814277,0.002747693930386287
training,0.0,surface_speed,230,0.002133696864600072,0.0016661808621099145,0.0027710922944778247
training,0.0,surface_speed,240,0.002284881487852144,0.0017044127642979231,0.002897358666132932
training,0.0,surface_speed,250,0.002438327126886707,0.0017293735648187753,0.0031079214789340023
training,0.0,surface_speed,260,0.002647750179445924,0.001814648089443019,0.003917108662802902
training,0.0,surface_speed,270,0.0028341922948821713,0.001866645468825172,0.004524007205574032
training,0.0,surface_speed,280,0.002977247002623027,0.0019539097812571434,0.004759759261972791
training,0.0,surface_speed,290,0.0031239820915407663,0.001989462990401555,0.005025539703775744
training,0.0,surface_speed,300,0.00327598022639279,0.00196119241966924,0.005313949513871307
training,0.0,surface_speed,310,0.003404191267687254,0.0020148560336127872,0.005592750177592395
training,0.0,surface_speed,320,0.003527180617976869,0.002128909892738243,0.005861679764918917
training,0.0,surface_speed,330,0.00365227874689628,0.0022268047414844856,0.006111212487578779
training,0.0,surface_speed,340,0.003798159443611629,0.0023137208728765644,0.006375390280908127
training,0.0,surface_speed,350,0.003951780482511196,0.002439047809819701,0.006639266293321152
training,0.0,surface_speed,360,0.00410304367958005,0.0025203267307730578,0.006838814040504294
training,0.0,surface_speed,370,0.004248325224477519,0.0026281175987138816,0.006999454869063089
training,0.0,surface_speed,380,0.004394218745268839,0.002693327056952305,0.007124196443116398
training,0.0,surface_speed,390,0.0045575235369863755,0.0027951156566909797,0.007234961468294061
training,0.0,surface_speed,400,0.0047421658911295725,0.0029230601586240513,0.007440864121070424
training,0.0,surface_speed,410,0.004952272339436759,0.003115041006047433,0.007699615387550018
training,0.0,surface_speed,420,0.005130024042883109,0.0032305336375662488,0.008018286836112536
training,0.0,surface_speed,430,0.005331115720402938,0.003409020465941189,0.008370523302939642
training,0.0,surface_speed,440,0.005537013341870175,0.0035083577907313473,0.008751319198315633
training,0.0,surface_speed,450,0.005734950053416519,0.0037415460469539864,0.009081567700792235
training,0.0,surface_speed,460,0.005914871271207824,0.004011582299710662,0.009399766497938614
training,0.0,surface_speed,470,0.006107609440412521,0.00422143827307564,0.009684977503955167
training,0.0,surface_speed,480,0.006302312172679724,0.0044078866815712575,0.009936844840384814
training,0.0,surface_speed,490,0.00651551338290373,0.004693528775830923,0.010194740708455644
