metric,method,field,lead_days,finite_members,mean,p10,p90
rmse,selected,surface_speed,0,15,1.2320063319976143e-10,9.580927789245382e-11,1.4392815378677444e-10
rmse,selected,surface_speed,10,15,0.0003943356743980883,0.00032763173268013937,0.0004891486421197463
rmse,selected,surface_speed,20,15,0.000595327911692778,0.00047829970674537485,0.00085958198846891
rmse,selected,surface_speed,30,15,0.0007400986128830906,0.0005665620461528837,0.0010998091589742452
rmse,selected,surface_speed,40,15,0.0008823767986375317,0.0006711063929382748,0.0014290537836297132
rmse,selected,surface_speed,50,15,0.0010101233259346973,0.000743688008479461,0.0018181501639853185
rmse,selected,surface_speed,60,15,0.0011084002213802757,0.0008235853271734021,0.001823765468158884
rmse,selected,surface_speed,70,15,0.001195148223764255,0.0009252728484559055,0.0017985805540429558
rmse,selected,surface_speed,80,15,0.001255870982838311,0.0009863747530877048,0.0017995521849078172
rmse,selected,surface_speed,90,15,0.0013287836774617263,0.0010777022163589393,0.0018170962835011965
rmse,selected,surface_speed,100,15,0.0013955359339047544,0.001099980092423683,0.0018661998973675098
rmse,selected,surface_speed,110,15,0.0014832930867618964,0.0011948904860414327,0.0020279167164401124
rmse,selected,surface_speed,120,15,0.001604726914114299,0.0012815189634176197,0.0021813134436180436
rmse,selected,surface_speed,130,15,0.0017434447485211797,0.0013641333637390983,0.002272193946113523
rmse,selected,surface_speed,140,15,0.0018903970351516206,0.0014452535168521417,0.002350088645060191
rmse,selected,surface_speed,150,15,0.002020274649132322,0.0015528600973573684,0.002476227233099614
rmse,selected,surface_speed,160,15,0.0021314733949479394,0.0016556999185408196,0.002593116456971867
rmse,selected,surface_speed,170,15,0.002252543926946149,0.0017284126206515025,0.002983191175703953
rmse,selected,surface_speed,180,15,0.0023872364221795028,0.0017799643863951502,0.0034128452199452034
rmse,selected,surface_speed,190,15,0.0025554873912364785,0.001856764545075568,0.0034202274514743003
rmse,selected,surface_speed,200,15,0.002704415853325684,0.001964041447791909,0.003440316265853218
rmse,selected,surface_speed,210,15,0.0028713670192409527,0.002047497382951825,0.0037834228853391087
rmse,selected,surface_speed,220,15,0.0030458040224128654,0.0021395226766508816,0.004201756664259387
rmse,selected,surface_speed,230,15,0.0032173844119630724,0.002214324600486683,0.0044125445476448115
rmse,selected,surface_speed,240,15,0.0033849526629397826,0.0023078644657785695,0.004791896532129854
rmse,selected,surface_speed,250,15,0.003520000737423279,0.0024009697628864955,0.005017435934027927
rmse,selected,surface_speed,260,15,0.0036391899960392235,0.002516930852985903,0.005062649982133484
rmse,selected,surface_speed,270,15,0.0037446223993510366,0.002601026009726467,0.004965029369590644
rmse,selected,surface_speed,280,15,0.0038605346725395745,0.0026721205188903682,0.0049544209412999965
rmse,selected,surface_speed,290,15,0.00400827143010703,0.0028090156933627654,0.004931013253541637
rmse,selected,surface_speed,300,15,0.0041619350123252696,0.002942564894649209,0.005096187629942309
rmse,selected,surface_speed,310,15,0.00430659806134301,0.0030179809089317536,0.005522317656273294
rmse,selected,surface_speed,320,15,0.0044603602727484775,0.0031492410884330913,0.005861943757413062
rmse,selected,surface_speed,330,15,0.004607993800437365,0.003273821641676672,0.0059214216079123095
rmse,selected,surface_speed,340,15,0.004764930527899847,0.0033809929879272263,0.006018453177665677
rmse,selected,surface_speed,350,15,0.0049242523469329785,0.0035255322250659984,0.006312666908376918
rmse,selected,surface_speed,360,15,0.005087164913696671,0.003698842282057392,0.0065414673707974305
rmse,selected,surface_speed,370,15,0.005263292466510544,0.003859425472208994,0.006681533367276622
rmse,selected,surface_speed,380,15,0.005451297830603398,0.004054120185609171,0.006919435200435073
rmse,selected,surface_speed,390,15,0.005651091152763891,0.004265295338756698,0.007239540562786689
rmse,selected,surface_speed,400,15,0.005858978058553861,0.004504796276243198,0.007618048380709081
rmse,selected,surface_speed,410,15,0.00610404103738084,0.004775427596799688,0.007962522762049312
rmse,selected,surface_speed,420,15,0.006338224901867911,0.005102632171377583,0.008289993558296583
rmse,selected,surface_speed,430,15,0.0065608475857873265,0.0053396892184110435,0.008512814770476652
rmse,selected,surface_speed,440,15,0.006816709331658037,0.005565484085653203,0.008804098274895821
rmse,selected,surface_speed,450,15,0.007059333772138359,0.005768779201114053,0.0091305298674604
rmse,selected,surface_speed,460,15,0.007310829589188491,0.005988156352884259,0.009459562697192772
rmse,selected,surface_speed,470,15,0.007542805842257719,0.006224383301731139,0.009811940332915178
rmse,selected,surface_speed,480,15,0.007787055541239378,0.006424646313957542,0.010182555251051946
rmse,selected,surface_speed,490,15,0.00802116811884096,0.0066539671538093405,0.010432599071951813
rmse,selected,surface_speed,500,15,0.008244151156381895,0.006794078980646235,0.010779279255814855
rmse,selected,surface_speed,510,15,0.008484792485825903,0.006914123365087108,0.011038472785168705
rmse,selected,surface_speed,520,15,0.008758003850093935,0.0072179033083625875,0.011329259507152611
rmse,selected,surface_speed,530,15,0.009026975368721265,0.0074785074880592325,0.011499098259800203
rmse,selected,surface_speed,540,15,0.009289751116999562,0.007714013476986162,0.01168135939321249
rmse,selected,surface_speed,550,15,0.009545428862376528,0.007985248495912199,0.011892245434695053
rmse,selected,surface_speed,560,15,0.00978722808553617,0.008234848467388343,0.012043693614772021
rmse,selected,surface_speed,570,15,0.01002734322718004,0.008555401975532772,0.012163096788088534
rmse,selected,surface_speed,580,15,0.010316594826670862,0.008808810709317457,0.01251604947061392
rmse,selected,surface_speed,590,15,0.010587651102466641,0.008926818503490584,0.012786165949571632
rmse,selected,surface_speed,600,15,0.010860038428728526,0.009167589148766739,0.013119447831441868
rmse,selected,surface_speed,610,15,0.011156634980188122,0.009611892928977623,0.013480674325719524
rmse,selected,surface_speed,620,15,0.011506052461722873,0.009974284216236329,0.013888661203911412
rmse,selected,surface_speed,630,15,0.01185921747744089,0.010140126742731482,0.014219122694817633
rmse,selected,surface_speed,640,15,0.012179714605216874,0.010439311574398232,0.014637831277626072
rmse,selected,surface_speed,650,15,0.012516934426334145,0.010736245560063327,0.015158834193527957
rmse,selected,surface_speed,660,15,0.012867278201535779,0.010882533715190422,0.015511426509299564
rmse,selected,surface_speed,670,15,0.013194718692975805,0.011020999618135848,0.015848951752209926
rmse,selected,surface_speed,680,15,0.013503895407512892,0.011265185134547231,0.016293118137701786
rmse,selected,surface_speed,690,15,0.013821583680549119,0.011532146808689596,0.016669027489460263
rmse,selected,surface_speed,700,15,0.014172244723380654,0.011717927365487334,0.01696195229576688
rmse,selected,surface_speed,710,15,0.014516937969921288,0.012132862650251505,0.017343594499239123
rmse,selected,surface_speed,720,15,0.014867916215888224,0.012559192170726546,0.017786508429582827
rmse,selected,surface_speed,730,15,0.01520188519633642,0.012755173851438664,0.01815732751541539
rmse,selected,surface_speed,740,15,0.015544295542685807,0.013041700485941832,0.01849175724778004
rmse,selected,surface_speed,750,15,0.015935761181748737,0.013487135009740627,0.018926425902836795
rmse,selected,surface_speed,760,15,0.016301772248396972,0.013817580491628205,0.01942562138712145
rmse,selected,surface_speed,770,15,0.016657112506433716,0.014050776836432056,0.019800976277237335
rmse,selected,surface_speed,780,15,0.017029267029926246,0.014338397630313781,0.02018080275350193
rmse,selected,surface_speed,790,15,0.017439316941162453,0.014791213358320428,0.020651770939386877
rmse,selected,surface_speed,800,15,0.01785706412127797,0.015118068659538204,0.021106066832801973
rmse,selected,surface_speed,810,15,0.018264510177156953,0.015364970832043743,0.02161247732450427
rmse,selected,surface_speed,820,15,0.018707738636591045,0.015673258447824443,0.02216055866092808
rmse,selected,surface_speed,830,15,0.01916572868225526,0.0158975118466656,0.022685740991267606
rmse,selected,surface_speed,840,15,0.01960398105699809,0.016184027087320488,0.02317032946430644
rmse,selected,surface_speed,850,15,0.020015344298569864,0.016451109290264384,0.023523601309935475
rmse,selected,surface_speed,860,15,0.020413752322635814,0.016774813875628486,0.02360301360557955
rmse,selected,surface_speed,870,15,0.02085964389424473,0.01707548565487593,0.023743387652677937
rmse,selected,surface_speed,880,15,0.02130953616685427,0.017408041599814992,0.024087440857958466
rmse,selected,surface_speed,890,15,0.02177967868443776,0.017743441263996382,0.024433005439976126
rmse,selected,surface_speed,900,15,0.022205825543771054,0.0181285029144365,0.024659992999132872
rmse,selected,surface_speed,910,15,0.022602223625314062,0.018500080299435326,0.024866420000664743
rmse,selected,surface_speed,920,15,0.023041137493086204,0.018875590900102622,0.025075801132560433
rmse,selected,surface_speed,930,15,0.02347825261099358,0.0193210306153455,0.02531526215870136
rmse,selected,surface_speed,940,15,0.02389774705717237,0.019769112282882733,0.025503096036719193
rmse,selected,surface_speed,950,15,0.02432012286117224,0.020171605669076064,0.025934974212825403
rmse,selected,surface_speed,960,15,0.024782590785641146,0.020722411123597764,0.026585322560144328
rmse,selected,surface_speed,970,15,0.02525187231218259,0.021250892339222175,0.027241524705067695
