scope,field,method,lead_days,mean_rmse,ratio_to_persistence,ratio_to_climatology
training_gate,surface_speed,model,10,0.0004493342193233763,0.199501521760008,0.11779213115481481
training_gate,surface_speed,model,20,0.0006256472537643276,0.1913690888925011,0.1641745294788084
training_gate,surface_speed,model,30,0.0007351656828649101,0.18875924536590266,0.19295476632154854
training_gate,surface_speed,model,40,0.0008374677295149821,0.1785801701448608,0.22004041446490918
training_gate,surface_speed,model,50,0.0009257808573979505,0.18120605019430303,0.243320833276127
training_gate,surface_speed,model,60,0.0010011563542152377,0.1864402216586849,0.26317239308322227
training_gate,surface_speed,model,70,0.0010773165218846837,0.1960874048544285,0.28361791970815864
training_gate,surface_speed,model,80,0.0011445898455955709,0.20583305958200104,0.3013962283826936
training_gate,surface_speed,model,90,0.0012152079532690414,0.21553344701696972,0.3199222477519405
training_gate,sst,model,10,0.004017390960103108,0.18894694206834953,0.10252657611891494
training_gate,sst,model,20,0.005957778179759367,0.16912820478356702,0.15224551500488356
training_gate,sst,model,30,0.007241204002854862,0.16057267681443235,0.18520962683201195
training_gate,sst,model,40,0.008400228987361685,0.15737527360648523,0.2150434715674902
training_gate,sst,model,50,0.00951817881108986,0.16486017626111313,0.24390302718619858
training_gate,sst,model,60,0.010597676017183673,0.17915117378369044,0.2717802344471892
training_gate,sst,model,70,0.011601360293139738,0.19672464473188148,0.2979524905025483
training_gate,sst,model,80,0.012590089555036415,0.2155991449694387,0.3236197283806724
training_gate,sst,model,90,0.013579063174418277,0.23229305978168932,0.3490114844382969
training_gate,phihyd_surface,model,10,0.002649517494245191,0.27160820046635725,0.04831161833541669
training_gate,phihyd_surface,model,20,0.004428598416874323,0.296702505657274,0.08097901119923748
training_gate,phihyd_surface,model,30,0.006182757929760824,0.33008023850376883,0.11325109977937992
training_gate,phihyd_surface,model,40,0.007931444706843684,0.33975056893315636,0.14562242161325936
training_gate,phihyd_surface,model,50,0.009675095545093495,0.3622276984038926,0.17804491368019856
training_gate,phihyd_surface,model,60,0.011406825784662808,0.39153368158058366,0.21028204706521864
training_gate,phihyd_surface,model,70,0.013126376949043738,0.42794635792890096,0.242657203206512
training_gate,phihyd_surface,model,80,0.014842016272315824,0.469650456259736,0.2749071643139474
training_gate,phihyd_surface,model,90,0.01654399392298526,0.5191066000808978,0.3069199593004826
training_gate,streamfunction,model,10,0.08342559387803905,0.8474201295837613,0.3798391476039442
training_gate,streamfunction,model,20,0.13301618364467113,0.7542625804417173,0.6072514914624584
training_gate,streamfunction,model,30,0.17220082821807375,0.7069385700487858,0.785147031729118
training_gate,streamfunction,model,40,0.2086498145358982,0.6877890264703488,0.9517514662662931
training_gate,streamfunction,model,50,0.2427513302821252,0.6974715261849606,1.1083723606480995
training_gate,streamfunction,model,60,0.2742431590885476,0.7206840994791242,1.2502425293535209
training_gate,streamfunction,model,70,0.30569039259657815,0.7645505946677965,1.397451550684747
training_gate,streamfunction,model,80,0.3368475441786426,0.823484601236715,1.5390532594086719
training_gate,streamfunction,model,90,0.36795529303727326,0.900479564133837,1.6777218980836734
fixed_S2_validation_figure,surface_speed,model,0,0.0,nan,0.0
fixed_S2_validation_figure,surface_speed,model,10,0.000629921672710528,0.20627948426787826,0.19452675220129886
fixed_S2_validation_figure,surface_speed,model,20,0.0007793367723934353,0.2022982163159491,0.24387818432564493
fixed_S2_validation_figure,surface_speed,model,30,0.0008889804283777873,0.1964970263285459,0.261331475507605
fixed_S2_validation_figure,surface_speed,model,40,0.00102451496059075,0.2011108275919562,0.31437873284675855
fixed_S2_validation_figure,surface_speed,model,50,0.0010854007947879534,0.23009079720833334,0.3367643257526716
fixed_S2_validation_figure,surface_speed,model,60,0.0011492142298569282,0.22238383761028915,0.3230016012096817
fixed_S2_validation_figure,surface_speed,model,70,0.001242550431440274,0.2323782729096871,0.3507693531371635
fixed_S2_validation_figure,surface_speed,model,80,0.0012842563679441809,0.25413063088617605,0.3794584678021749
fixed_S2_validation_figure,surface_speed,model,90,0.001340400738020738,0.2403046200234569,0.3747344600678753
fixed_S2_validation_figure,surface_speed,model,100,0.0014253063903500636,0.251367321399739,0.39570042182055865
fixed_S2_validation_figure,surface_speed,model,110,0.001469634558695058,0.2688414603584055,0.4141749607970624
fixed_S2_validation_figure,surface_speed,model,120,0.0015382155465583007,0.3165750113775135,0.42190416785006707
fixed_S2_validation_figure,surface_speed,model,130,0.0016082463630785544,0.40921396012560507,0.4652080069732833
fixed_S2_validation_figure,surface_speed,model,140,0.0016671785386279225,0.49151666972921243,0.5063843311482986
fixed_S2_validation_figure,surface_speed,model,150,0.0017408950331931313,1.739635463800552,0.5097201714126831
fixed_S2_validation_figure,surface_speed,model,160,0.0018307598152508338,0.7619530543340312,0.5514684097111062
