metric,model_or_method,field,lead_days,mean,p10,p90
rmse,model,surface_speed,0,0.0,0.0,0.0
rmse,model,surface_speed,10,0.0017782770873357853,0.0015602464787662028,0.0019516825675964355
rmse,model,surface_speed,20,0.0026501509671409923,0.0023470747284591196,0.002891178289428353
rmse,model,surface_speed,30,0.0033773189410567284,0.0030820286832749844,0.0038967628963291643
rmse,model,surface_speed,40,0.0041711942137529455,0.0036937627010047436,0.004859434533864259
rmse,model,surface_speed,50,0.005061395683636268,0.004485174920409918,0.005837962497025728
rmse,model,surface_speed,60,0.006067659302304188,0.005439193639904261,0.006781465001404285
rmse,model,surface_speed,70,0.006993875155846278,0.006475816573947668,0.007424102071672678
rmse,model,surface_speed,80,0.007804144949962695,0.007544790394604206,0.008010800927877426
rmse,model,surface_speed,90,0.00850481993208329,0.00823752973228693,0.008780421130359173
rmse,model,surface_speed,100,0.009014780757327874,0.008542956225574017,0.009573479928076268
rmse,model,surface_speed,110,0.009355402365326882,0.008786033652722836,0.010027476213872432
rmse,model,surface_speed,120,0.009621855119864147,0.009017693251371384,0.010322773829102516
rmse,model,surface_speed,130,0.009887418958048027,0.00912183616310358,0.0106483219191432
rmse,model,surface_speed,140,0.010088623439272245,0.00943265724927187,0.010819622501730918
rmse,model,surface_speed,150,0.0103339243059357,0.009742442332208157,0.011288698203861714
rmse,model,surface_speed,160,0.010560760895411173,0.009989379718899728,0.011386124417185783
rmse,model,surface_speed,170,0.010832177475094795,0.010242550633847713,0.011689983494579791
rmse,model,surface_speed,180,0.011062326841056347,0.010449206456542015,0.011935555934906006
rmse,model,surface_speed,190,0.011307600202659767,0.010971512459218503,0.012069548107683658
rmse,model,surface_speed,200,0.011516845598816872,0.011136616952717305,0.012293261848390103
rmse,model,surface_speed,210,0.011785028005639712,0.01126035712659359,0.012653552740812302
rmse,model,surface_speed,220,0.01202918440103531,0.01142724435776472,0.012748184241354465
rmse,model,surface_speed,230,0.012224480199317137,0.011648737452924251,0.012838178128004075
rmse,model,surface_speed,240,0.012418173998594285,0.011873870715498924,0.013006411492824554
rmse,model,surface_speed,250,0.012590506051977476,0.012082370184361934,0.013199299387633801
rmse,model,surface_speed,260,0.0126921267559131,0.012236312218010425,0.013237800635397434
rmse,model,surface_speed,270,0.012796686527629693,0.012286759167909621,0.013339150324463844
rmse,model,surface_speed,280,0.012959189030031364,0.012372373044490815,0.013533055782318115
rmse,model,surface_speed,290,0.013085536658763885,0.012556861340999603,0.013825539499521255
rmse,model,surface_speed,300,0.013103095007439454,0.012592547573149204,0.013779207691550254
rmse,model,surface_speed,310,0.013134676590561866,0.012634657882153988,0.013916960917413235
rmse,model,surface_speed,320,0.013198075008889039,0.012831120751798153,0.01386176273226738
rmse,model,surface_speed,330,0.01322022577126821,0.012736510671675205,0.013615017011761665
rmse,model,surface_speed,340,0.01324791635076205,0.012694135122001172,0.013820131495594978
rmse,model,surface_speed,350,0.01328672437618176,0.012741997465491295,0.014010178297758103
rmse,model,surface_speed,360,0.013317586109042167,0.012816278263926506,0.013937153108417987
rmse,model,surface_speed,370,0.01328927514453729,0.012742356210947037,0.013858352601528167
rmse,model,surface_speed,380,0.01336972825229168,0.01297365054488182,0.013787769339978695
rmse,model,surface_speed,390,0.013461922792096933,0.013003523834049702,0.013905505277216434
rmse,model,surface_speed,400,0.013504355835417906,0.013103728741407394,0.01377241350710392
rmse,model,surface_speed,410,0.013543158707519373,0.01296138260513544,0.013988152891397477
rmse,model,surface_speed,420,0.013525889503459137,0.013103321380913257,0.01402568183839321
rmse,model,surface_speed,430,0.013467335514724255,0.013014175556600093,0.013947564736008644
rmse,model,surface_speed,440,0.013436695436636607,0.012872738949954509,0.013840298168361187
rmse,model,surface_speed,450,0.013465732211867969,0.012946259416639804,0.013859949447214604
rmse,model,surface_speed,460,0.013512936234474183,0.013088387437164783,0.013761124387383462
rmse,model,surface_speed,470,0.013510782333711783,0.013087086193263531,0.013967231661081315
rmse,model,surface_speed,480,0.013542552354435126,0.012980602122843266,0.014024310000240802
rmse,model,surface_speed,490,0.013615178503096103,0.013143600523471832,0.014085768349468708
rmse,model,surface_speed,500,0.013665771670639515,0.01316264048218727,0.014142481610178947
rmse,model,surface_speed,510,0.013719347553948562,0.01302134096622467,0.014474285207688809
rmse,model,surface_speed,520,0.01379276035974423,0.013108078017830848,0.014666401781141758
rmse,model,surface_speed,530,0.013833974674344062,0.013126365281641484,0.01473302748054266
rmse,model,surface_speed,540,0.013797780809303125,0.01313046608120203,0.014772809483110905
rmse,model,surface_speed,550,0.013859028493364652,0.01308386754244566,0.014920574426651002
rmse,model,surface_speed,560,0.013895007160802683,0.013124893233180047,0.014769425243139267
rmse,model,surface_speed,570,0.013876623101532459,0.013313396461308002,0.014620285108685493
rmse,model,surface_speed,580,0.013911541178822517,0.01331149972975254,0.01467478796839714
rmse,model,surface_speed,590,0.013954812039931616,0.013349819742143155,0.014473351649940014
rmse,model,surface_speed,600,0.013914453114072483,0.013241841830313206,0.014722749404609204
rmse,model,surface_speed,610,0.013881176027158897,0.01334412582218647,0.014535600505769252
rmse,model,surface_speed,620,0.013952365579704444,0.01346705574542284,0.014495112374424935
rmse,model,surface_speed,630,0.013972983881831168,0.013468907959759236,0.014361391589045525
rmse,model,surface_speed,640,0.013953183032572269,0.013482563383877277,0.014393806271255017
rmse,model,surface_speed,650,0.013966877075533072,0.013474412076175214,0.014578884094953537
rmse,model,surface_speed,660,0.013978581378857295,0.013351458497345448,0.014645566791296005
rmse,model,surface_speed,670,0.013997759856283664,0.01336651984602213,0.01449735313653946
rmse,model,surface_speed,680,0.01405556295067072,0.013431749865412712,0.014642642438411712
rmse,model,surface_speed,690,0.014071080523232618,0.01352869812399149,0.014604272320866585
rmse,model,surface_speed,700,0.013986633718013763,0.013365701586008073,0.01447850614786148
rmse,model,surface_speed,710,0.013929379855593045,0.013250653631985188,0.01455627679824829
rmse,model,surface_speed,720,0.013884177555640538,0.013000928051769733,0.014607607945799827
rmse,model,surface_speed,730,0.013804089960952599,0.013136273063719273,0.014440118335187435
rmse,model,surface_speed,740,0.013794741593301296,0.013165621645748615,0.014425764605402947
rmse,model,surface_speed,750,0.013705142028629779,0.013020024448633195,0.014505985006690024
rmse,model,surface_speed,760,0.013580229071279367,0.012898347713053227,0.014369861036539078
rmse,model,surface_speed,770,0.013416843178371588,0.012950948812067509,0.014373558014631272
rmse,model,surface_speed,780,0.013380238724251588,0.012840031832456588,0.014306806959211826
rmse,model,surface_speed,790,0.013272564113140106,0.012602205947041511,0.014044136181473732
rmse,model,surface_speed,800,0.01324869350840648,0.012719227932393551,0.014147676341235638
rmse,model,surface_speed,810,0.013172059382001559,0.01262649018317461,0.01412709839642048
rmse,model,surface_speed,820,0.013015748312075933,0.012361338920891285,0.013837601616978645
rmse,model,surface_speed,830,0.013033894325296084,0.012424175441265107,0.013705173321068288
rmse,model,surface_speed,840,0.013011877362926801,0.012526617757976055,0.013761301338672639
rmse,model,surface_speed,850,0.0129357585683465,0.012441319786012173,0.013576752878725529
rmse,model,surface_speed,860,0.01287879105657339,0.01227975096553564,0.013434099592268467
rmse,model,surface_speed,870,0.01291820512463649,0.012537403218448161,0.013490025140345096
rmse,model,surface_speed,880,0.012780381304522356,0.012377450615167618,0.01323870737105608
rmse,model,surface_speed,890,0.012692628987133503,0.012313372083008289,0.013162045739591122
rmse,model,surface_speed,900,0.012809330659608046,0.012404416501522065,0.013279450498521328
rmse,model,surface_speed,910,0.012710430721441904,0.012334426864981651,0.013212496601045131
rmse,model,surface_speed,920,0.012735688065489133,0.012393107637763023,0.01319442093372345
rmse,model,surface_speed,930,0.012777082808315753,0.012381043657660485,0.013340464048087596
rmse,model,surface_speed,940,0.012725983870526154,0.012368542514741421,0.013481697998940945
rmse,model,surface_speed,950,0.012693124637007714,0.012395531870424747,0.013107910752296448
rmse,model,surface_speed,960,0.012711756676435471,0.012385937385261059,0.013222277723252773
rmse,model,surface_speed,970,0.012712908163666724,0.012250393442809582,0.013299351185560226
rmse,model,surface_speed,980,0.012591503436366717,0.012250899337232113,0.012946142069995403
rmse,model,surface_speed,990,0.012662492195765178,0.012239188328385353,0.013057838752865791
rmse,model,surface_speed,1000,0.012680584626893202,0.0123974384739995,0.013204943761229515
rmse,model,surface_speed,1010,0.012647848576307297,0.01230476088821888,0.013065366260707378
rmse,model,surface_speed,1020,0.012637006677687168,0.012267716415226459,0.012935432605445385
rmse,model,surface_speed,1030,0.012735062216718992,0.012515432201325893,0.01299180593341589
rmse,model,surface_speed,1040,0.0126242412875096,0.012199786119163036,0.012991983629763126
rmse,model,surface_speed,1050,0.012573854935665926,0.012213858030736446,0.012819076515734195
rmse,model,surface_speed,1060,0.012698615901172161,0.012272399477660656,0.012996939197182655
rmse,model,surface_speed,1070,0.012742187393208345,0.012212616205215455,0.013239176943898201
rmse,model,surface_speed,1080,0.012778373807668686,0.012306226603686809,0.01339001301676035
rmse,model,surface_speed,1090,0.0128585875655214,0.012249257415533066,0.013494595885276794
rmse,model,surface_speed,1100,0.012906974616150061,0.0123995965346694,0.01346673909574747
rmse,model,surface_speed,1110,0.012835151081283887,0.01240968406200409,0.013167198002338409
rmse,model,surface_speed,1120,0.01289331925412019,0.012418979592621327,0.013543122075498104
rmse,model,surface_speed,1130,0.012920950104792913,0.01235277708619833,0.013645941577851772
rmse,model,surface_speed,1140,0.012984332256019115,0.01251851487904787,0.013660519383847713
rmse,model,surface_speed,1150,0.013047713165481886,0.01232048962265253,0.013950301706790924
rmse,model,surface_speed,1160,0.013057044707238674,0.01242495235055685,0.0138813940808177
rmse,model,surface_speed,1170,0.013094456990559895,0.012351259030401707,0.014083623886108398
rmse,model,surface_speed,1180,0.013044415600597858,0.012309033796191216,0.014040523208677769
