metric,model_or_method,field,lead_days,mean,p10,p90
rmse,model,surface_speed,0,0.0,0.0,0.0
rmse,model,surface_speed,10,0.001620546340321501,0.0014165217988193035,0.00173862362280488
rmse,model,surface_speed,20,0.0019240830248842637,0.0016247112769633531,0.002246430516242981
rmse,model,surface_speed,30,0.001959195088905593,0.0017062699422240256,0.0021902309730648995
rmse,model,surface_speed,40,0.0022376204297567407,0.0018565903883427382,0.0026456176768988367
rmse,model,surface_speed,50,0.0024133923308302958,0.002083489578217268,0.0029344232287257907
rmse,model,surface_speed,60,0.0026380674447864295,0.0022780952509492635,0.003141743363812566
rmse,model,surface_speed,70,0.0029119978348414103,0.002455728594213724,0.003480075066909194
rmse,model,surface_speed,80,0.003211614955216646,0.0027749659027904274,0.003812467446550727
rmse,model,surface_speed,90,0.0035682166771342358,0.0030055250972509384,0.004212395939975977
rmse,model,surface_speed,100,0.004038667725399137,0.003324503917247057,0.004579407442361116
rmse,model,surface_speed,110,0.0045675004987667,0.00368678318336606,0.0053253015503287315
rmse,model,surface_speed,120,0.0052180683550735315,0.004277926590293646,0.006136894598603249
rmse,model,surface_speed,130,0.00596603856732448,0.004865735769271851,0.006896945741027593
rmse,model,surface_speed,140,0.006737455694625775,0.005562893580645323,0.007721891999244689
rmse,model,surface_speed,150,0.007542369111130635,0.006379188876599074,0.00851763654500246
rmse,model,surface_speed,160,0.00826591815178593,0.007456027995795011,0.008988492749631405
rmse,model,surface_speed,170,0.00894712544977665,0.008262777887284755,0.009740105271339417
rmse,model,surface_speed,180,0.009561480954289436,0.00891432911157608,0.010246899351477623
rmse,model,surface_speed,190,0.010125320528944333,0.009380004927515983,0.010970528982579709
rmse,model,surface_speed,200,0.01058554258197546,0.00964595451951027,0.011590045876801014
rmse,model,surface_speed,210,0.011035353317856789,0.0102073285728693,0.012110500410199166
rmse,model,surface_speed,220,0.011402852026124795,0.010555327124893665,0.012461292557418346
rmse,model,surface_speed,230,0.011647206917405128,0.010804379172623158,0.012769022211432456
rmse,model,surface_speed,240,0.01186892818659544,0.01116154007613659,0.013143002986907959
rmse,model,surface_speed,250,0.012104161394139131,0.011326861009001732,0.013390031084418297
rmse,model,surface_speed,260,0.012255380923549334,0.011358794197440148,0.013353463262319565
rmse,model,surface_speed,270,0.012365905568003654,0.011719170399010182,0.013298953883349895
rmse,model,surface_speed,280,0.012509837374091148,0.011906288750469684,0.013328766822814942
rmse,model,surface_speed,290,0.012625191857417424,0.011977363564074039,0.013448330387473107
rmse,model,surface_speed,300,0.012652913170556227,0.012142154388129711,0.013043280690908432
rmse,model,surface_speed,310,0.012728134356439113,0.01231821607798338,0.013231850415468215
rmse,model,surface_speed,320,0.012821054086089134,0.012403808906674385,0.013467320427298545
rmse,model,surface_speed,330,0.012827212922275066,0.01249518059194088,0.013661558553576468
rmse,model,surface_speed,340,0.012839347496628762,0.01237177848815918,0.013645763136446476
rmse,model,surface_speed,350,0.012872370705008507,0.012431368790566921,0.013410908542573452
rmse,model,surface_speed,360,0.012917509861290455,0.012562885135412215,0.01341689433902502
rmse,model,surface_speed,370,0.01289556585252285,0.012631054781377316,0.013254261016845703
rmse,model,surface_speed,380,0.012946453380088012,0.01270631980150938,0.0131498534232378
rmse,model,surface_speed,390,0.013009729236364365,0.01270618624985218,0.013264206796884536
rmse,model,surface_speed,400,0.013050121565659841,0.012718943506479263,0.013224980235099793
rmse,model,surface_speed,410,0.013067283978064856,0.01266404502093792,0.013462344743311405
rmse,model,surface_speed,420,0.013147705048322678,0.012646701931953431,0.013519103080034256
rmse,model,surface_speed,430,0.013237615674734115,0.012696432694792748,0.013606814108788967
rmse,model,surface_speed,440,0.013311618069807688,0.012871937453746795,0.01368910912424326
rmse,model,surface_speed,450,0.013429420193036397,0.012913748808205127,0.013821845315396786
rmse,model,surface_speed,460,0.01356755755841732,0.01308294925838709,0.013961300812661647
rmse,model,surface_speed,470,0.01369238793849945,0.013264015316963196,0.014112546294927596
rmse,model,surface_speed,480,0.013846210204064846,0.0133562371134758,0.01425343044102192
rmse,model,surface_speed,490,0.014023792433242003,0.013434921763837338,0.01438980121165514
rmse,model,surface_speed,500,0.014158905856311322,0.013569239526987076,0.01468572709709406
rmse,model,surface_speed,510,0.014253829047083855,0.013290931098163128,0.014965810067951679
rmse,model,surface_speed,520,0.014372965941826502,0.013336977548897266,0.015332478843629361
rmse,model,surface_speed,530,0.014511536248028279,0.013569539226591588,0.015520032867789269
rmse,model,surface_speed,540,0.01459800818314155,0.013637802563607693,0.015735216438770294
rmse,model,surface_speed,550,0.014708949687580268,0.013637837022542953,0.015865889191627503
rmse,model,surface_speed,560,0.014794697922964891,0.01382500771433115,0.015836158767342567
rmse,model,surface_speed,570,0.014845094519356887,0.014044811949133873,0.0157816369086504
rmse,model,surface_speed,580,0.014869357459247112,0.014124886877834798,0.015674490481615067
rmse,model,surface_speed,590,0.014959619877239068,0.014191784337162972,0.0157724991440773
rmse,model,surface_speed,600,0.01502518281340599,0.014384605921804905,0.015840674936771392
rmse,model,surface_speed,610,0.015051888488233089,0.014325308427214623,0.015920324996113778
rmse,model,surface_speed,620,0.015116480800012747,0.014541014283895492,0.015770212560892106
rmse,model,surface_speed,630,0.015220570005476474,0.014678185246884823,0.015812449529767035
rmse,model,surface_speed,640,0.015282980849345524,0.014920049719512463,0.015779486298561095
rmse,model,surface_speed,650,0.015359556364516417,0.014837635681033134,0.015961671620607375
rmse,model,surface_speed,660,0.015406229843695959,0.014768666401505471,0.015858657658100128
rmse,model,surface_speed,670,0.015436758038898308,0.014928587898612022,0.015874051302671433
rmse,model,surface_speed,680,0.015441714537640412,0.01484862957149744,0.016014961898326872
rmse,model,surface_speed,690,0.015418340514103571,0.014686776697635651,0.015966533869504928
rmse,model,surface_speed,700,0.015400638369222482,0.014798734709620476,0.015813620761036873
rmse,model,surface_speed,710,0.015371025788287323,0.014903531037271022,0.01581338532269001
rmse,model,surface_speed,720,0.015356030936042467,0.01468438096344471,0.01581999845802784
rmse,model,surface_speed,730,0.015345262922346592,0.01468424554914236,0.01584557816386223
rmse,model,surface_speed,740,0.015338626379768053,0.014663691632449627,0.015923550724983214
rmse,model,surface_speed,750,0.015300060498217742,0.014491987600922584,0.015957143902778626
rmse,model,surface_speed,760,0.015330284833908081,0.014482587575912476,0.016076452285051345
rmse,model,surface_speed,770,0.015443964240451654,0.01470353901386261,0.016367926821112634
rmse,model,surface_speed,780,0.015471791103482246,0.014449159242212772,0.016379322856664658
rmse,model,surface_speed,790,0.015506164791683355,0.014463694393634796,0.016304047778248787
rmse,model,surface_speed,800,0.015594096792240938,0.014661850407719612,0.01651020869612694
rmse,model,surface_speed,810,0.01565813316653172,0.01479636672884226,0.016652479022741317
rmse,model,surface_speed,820,0.01570546788473924,0.014799243584275246,0.01665651351213455
rmse,model,surface_speed,830,0.01577734878907601,0.014892994239926339,0.01671755313873291
rmse,model,surface_speed,840,0.01583024635910988,0.015005983598530292,0.01675092913210392
rmse,model,surface_speed,850,0.01587532280633847,0.01484132520854473,0.01670241691172123
rmse,model,surface_speed,860,0.01589752044528723,0.014772023633122444,0.01703498512506485
rmse,model,surface_speed,870,0.015874687954783438,0.014682631753385068,0.01704261489212513
rmse,model,surface_speed,880,0.015872118870417277,0.014606608636677265,0.016880315169692038
rmse,model,surface_speed,890,0.015899390292664368,0.014590098522603512,0.016791466251015665
rmse,model,surface_speed,900,0.01592159563054641,0.014591591991484165,0.016679170355200768
rmse,model,surface_speed,910,0.015941447330017885,0.014620432816445827,0.016684196889400482
rmse,model,surface_speed,920,0.015918344321350256,0.014558669924736024,0.016655600816011428
rmse,model,surface_speed,930,0.015913205655912557,0.014596396312117576,0.01674036346375942
rmse,model,surface_speed,940,0.015988872138162455,0.014655522629618644,0.017071615904569626
rmse,model,surface_speed,950,0.016005607259770235,0.014737790264189244,0.01700972244143486
rmse,model,surface_speed,960,0.015979427844285965,0.014775264263153075,0.017044096440076827
rmse,model,surface_speed,970,0.016019843456645807,0.01489955149590969,0.01713925115764141
rmse,model,surface_speed,980,0.01602085984001557,0.01502870824187994,0.017073656618595123
rmse,model,surface_speed,990,0.015986911952495575,0.014974449202418328,0.017117158323526383
rmse,model,surface_speed,1000,0.015980905294418334,0.014863336645066737,0.017058177292346953
rmse,model,surface_speed,1010,0.015951144074400268,0.014913128316402435,0.01695275604724884
rmse,model,surface_speed,1020,0.01592508777976036,0.014855255745351315,0.016950155794620513
rmse,model,surface_speed,1030,0.01591364381213983,0.01480507180094719,0.016971778869628907
rmse,model,surface_speed,1040,0.015868807397782802,0.014822743274271489,0.016940338537096977
rmse,model,surface_speed,1050,0.015838283176223437,0.01476122923195362,0.016909504309296608
rmse,model,surface_speed,1060,0.015868059545755386,0.014839583076536655,0.01683109290897846
rmse,model,surface_speed,1070,0.015900398977100848,0.014818351529538632,0.016912375390529633
rmse,model,surface_speed,1080,0.015952249181767304,0.01478094570338726,0.017077695950865744
rmse,model,surface_speed,1090,0.015933141733209293,0.014897920563817025,0.016895126923918723
rmse,model,surface_speed,1100,0.015908535259465378,0.01486970279365778,0.01683100201189518
rmse,model,surface_speed,1110,0.01592772292594115,0.01486852690577507,0.01694936230778694
rmse,model,surface_speed,1120,0.015878084550301232,0.014834108576178551,0.016788477823138238
rmse,model,surface_speed,1130,0.015816118009388445,0.014716364629566669,0.016667844355106355
rmse,model,surface_speed,1140,0.015836034590999287,0.014866950921714306,0.016655965149402617
rmse,model,surface_speed,1150,0.01583021736393372,0.014869230985641479,0.016625485941767694
rmse,model,surface_speed,1160,0.015792460987965266,0.014710144698619842,0.016626200824975967
rmse,model,surface_speed,1170,0.015751538425683977,0.014796215668320655,0.016476579755544663
rmse,model,surface_speed,1180,0.01573115841796001,0.014911332167685032,0.016524239629507064
rmse,model,surface_speed,1190,0.015695576990644135,0.014733397588133811,0.016617610305547714
