metric,model_or_method,field,lead_days,mean,p10,p90
rmse,model,surface_speed,0,0.0,0.0,0.0
rmse,model,surface_speed,10,0.0038831218145787714,0.0034283630549907683,0.00411327350884676
rmse,model,surface_speed,20,0.003913010672355692,0.0034871920943260193,0.00447363369166851
rmse,model,surface_speed,30,0.0038723718374967576,0.0033712705131620168,0.00464673563838005
rmse,model,surface_speed,40,0.003890482196584344,0.0033102492801845075,0.004873316083103418
rmse,model,surface_speed,50,0.0039060069092859825,0.003415671270340681,0.0048753670416772366
rmse,model,surface_speed,60,0.003854738129302859,0.003389354282990098,0.004625458270311356
rmse,model,surface_speed,70,0.0038362713841100533,0.0031927041709423065,0.004584336001425981
rmse,model,surface_speed,80,0.0038570633934189875,0.0034621649887412787,0.004343588650226593
rmse,model,surface_speed,90,0.003769192410012086,0.0032929821405559777,0.004049035813659429
rmse,model,surface_speed,100,0.0037036262763043243,0.0032435801345854997,0.004180829506367445
rmse,model,surface_speed,110,0.003753086846942703,0.00336004588752985,0.00416826056316495
rmse,model,surface_speed,120,0.003828223856786887,0.0033529591746628284,0.004322325624525547
rmse,model,surface_speed,130,0.003839500683049361,0.003402593405917287,0.004168859776109457
rmse,model,surface_speed,140,0.003854095113153259,0.003246655501425266,0.004317742493003607
rmse,model,surface_speed,150,0.0038861509102086226,0.003346311207860708,0.004262089915573597
rmse,model,surface_speed,160,0.0038463193612794083,0.003406500164419413,0.004308941215276718
rmse,model,surface_speed,170,0.003870447243874272,0.0032867026049643753,0.004345127195119858
rmse,model,surface_speed,180,0.0038939665692547957,0.0033407933078706264,0.004454345256090164
rmse,model,surface_speed,190,0.003923570706198613,0.0034051224123686553,0.004199668020009995
rmse,model,surface_speed,200,0.003859336441382766,0.003303841641172767,0.004216174129396677
rmse,model,surface_speed,210,0.003895251639187336,0.0032777855638414623,0.004574083909392357
rmse,model,surface_speed,220,0.003931267683704694,0.0033345211297273634,0.004756914731115103
rmse,model,surface_speed,230,0.0039519330331434805,0.0033848739694803953,0.004812152963131666
rmse,model,surface_speed,240,0.004009968927130103,0.0033507677726447582,0.00505576217547059
rmse,model,surface_speed,250,0.004071893574049076,0.0034816517028957604,0.005135667137801647
rmse,model,surface_speed,260,0.0040200381694982445,0.0033988208044320343,0.004867800138890743
rmse,model,surface_speed,270,0.003931902317951123,0.003474484756588936,0.004662401042878628
rmse,model,surface_speed,280,0.0039574831413726015,0.003377351863309741,0.004618952609598636
rmse,model,surface_speed,290,0.004025817864264051,0.003531996766105294,0.004462865646928549
rmse,model,surface_speed,300,0.004018791159614921,0.003708447003737092,0.004296718537807465
rmse,model,surface_speed,310,0.004025970383857687,0.003547201305627823,0.004537498671561479
rmse,model,surface_speed,320,0.0040333133811752,0.0035986756905913354,0.004684635903686285
rmse,model,surface_speed,330,0.003983415461455782,0.0035104012582451104,0.004700965341180563
rmse,model,surface_speed,340,0.003979292325675487,0.00358089916408062,0.004430271778255701
rmse,model,surface_speed,350,0.00393516980111599,0.003554319590330124,0.004414677899330854
rmse,model,surface_speed,360,0.003912203758955002,0.003375314874574542,0.004283201415091753
rmse,model,surface_speed,370,0.003782797697931528,0.0033232251647859813,0.004178548976778984
rmse,model,surface_speed,380,0.003766800664986173,0.003488438669592142,0.004076266940683126
rmse,model,surface_speed,390,0.003740956587716937,0.0032961491029709577,0.0041385158896446225
rmse,model,surface_speed,400,0.003714184866597255,0.003258309094235301,0.004135813284665346
rmse,model,surface_speed,410,0.0037530863502373297,0.0033421493135392666,0.004217810463160276
rmse,model,surface_speed,420,0.0038334220958252748,0.0033462389372289182,0.004181916452944278
rmse,model,surface_speed,430,0.003829766856506467,0.0032997192814946175,0.004330516234040261
rmse,model,surface_speed,440,0.0037821129119644564,0.00339776873588562,0.0042337441816926
rmse,model,surface_speed,450,0.003834344120696187,0.003360562911257148,0.004132022056728602
rmse,model,surface_speed,460,0.003913175050790111,0.003391881240531802,0.004433588776737452
rmse,model,surface_speed,470,0.003924366645514965,0.0035872635897248985,0.00434992890805006
rmse,model,surface_speed,480,0.0039472363889217375,0.003503017360344529,0.00408922964707017
rmse,model,surface_speed,490,0.003966076377158363,0.003655437845736742,0.004183825943619013
rmse,model,surface_speed,500,0.003949562289441625,0.0035160060971975325,0.004348239302635193
rmse,model,surface_speed,510,0.003985312441363931,0.003559928759932518,0.004649069253355264
rmse,model,surface_speed,520,0.00403600314942499,0.0036147355102002622,0.004624364711344242
rmse,model,surface_speed,530,0.004113981376091639,0.003662998555228114,0.004963112622499466
rmse,model,surface_speed,540,0.004032598156481981,0.0034412418957799674,0.005036290269345045
rmse,model,surface_speed,550,0.004028639694054922,0.003492291970178485,0.0049847115762531756
rmse,model,surface_speed,560,0.003987976644809047,0.0035881184972822665,0.0048415597528219225
rmse,model,surface_speed,570,0.003917657754694422,0.0034154150635004044,0.004531486984342336
rmse,model,surface_speed,580,0.0038836121248702208,0.003289996227249503,0.004375799745321274
rmse,model,surface_speed,590,0.003909797438730796,0.0034141989890486,0.004351093247532844
rmse,model,surface_speed,600,0.003906923268611233,0.0035048093646764754,0.004235733114182949
rmse,model,surface_speed,610,0.003860675155495604,0.0034464819356799124,0.004219671431928873
rmse,model,surface_speed,620,0.003941985856120785,0.0033810274675488473,0.004490783531218767
rmse,model,surface_speed,630,0.00408682346654435,0.003548123501241207,0.004502762760967016
rmse,model,surface_speed,640,0.004140589665621519,0.00351881324313581,0.004929978121072054
rmse,model,surface_speed,650,0.004203008875871698,0.0033950038719922303,0.005545578617602586
rmse,model,surface_speed,660,0.004246142910172542,0.003571404702961445,0.005996418464928865
rmse,model,surface_speed,670,0.004257135962446531,0.0033769422210752965,0.0061856240034103395
rmse,model,surface_speed,680,0.004241101381679376,0.003449987294152379,0.006264955922961235
rmse,model,surface_speed,690,0.004235898548116287,0.003445761976763606,0.00608802642673254
rmse,model,surface_speed,700,0.0042534259147942064,0.003587774047628045,0.0057932139374315735
rmse,model,surface_speed,710,0.0041250457055866715,0.003511004336178303,0.005415309499949217
rmse,model,surface_speed,720,0.004073324070001642,0.0033274491317570208,0.005243957042694092
rmse,model,surface_speed,730,0.004032058687880635,0.0035450601018965243,0.004863488208502531
rmse,model,surface_speed,740,0.003999077140664061,0.0035574670415371656,0.004674690216779709
rmse,model,surface_speed,750,0.003996849851682782,0.003410234767943621,0.004863869491964578
rmse,model,surface_speed,760,0.004044398743038376,0.0035623059142380954,0.00449677063152194
rmse,model,surface_speed,770,0.004062070107708374,0.003441105643287301,0.00455038184300065
rmse,model,surface_speed,780,0.004003530507907272,0.0034976124763488768,0.004468691069632769
rmse,model,surface_speed,790,0.00405740241209666,0.0035400971304625274,0.004605044797062874
rmse,model,surface_speed,800,0.004182194670041402,0.0035974699538201095,0.005221191607415676
rmse,model,surface_speed,810,0.004225227485100428,0.0035818055272102355,0.005401954986155032
rmse,model,surface_speed,820,0.0042786866271247465,0.0035357194021344183,0.00533984275534749
rmse,model,surface_speed,830,0.004318678891286254,0.0034363682847470046,0.005439043696969748
rmse,model,surface_speed,840,0.0043761537875980135,0.0037259119097143413,0.005676368810236454
rmse,model,surface_speed,850,0.00440341834910214,0.0035672061145305633,0.005981831531971693
rmse,model,surface_speed,860,0.004452105720217029,0.0034204030875116588,0.006221605744212866
rmse,model,surface_speed,870,0.004518818032617371,0.0036660450976341965,0.0064706155098974705
rmse,model,surface_speed,880,0.004434450529515743,0.003515447303652763,0.006375577207654715
rmse,model,surface_speed,890,0.004410469283660253,0.003573756292462349,0.006300365179777145
rmse,model,surface_speed,900,0.004383330730100473,0.003428387409076095,0.006017912086099386
rmse,model,surface_speed,910,0.004346704653774698,0.0033136088866740467,0.006033677421510219
rmse,model,surface_speed,920,0.004338839774330457,0.003425632184371352,0.005848411843180657
rmse,model,surface_speed,930,0.004344759726276,0.003452543867751956,0.005590376630425453
rmse,model,surface_speed,940,0.004339536357050141,0.0034580468665808438,0.00580853633582592
rmse,model,surface_speed,950,0.004227694279203813,0.003493934916332364,0.0056543186306953425
rmse,model,surface_speed,960,0.004194061737507582,0.003346166480332613,0.005512582696974277
rmse,model,surface_speed,970,0.004220569506287575,0.003647657623514533,0.005298339761793613
rmse,model,surface_speed,980,0.004190515928591291,0.0035800486337393524,0.005191187467426061
rmse,model,surface_speed,990,0.004169542978828152,0.003678695810958743,0.004804968740791082
rmse,model,surface_speed,1000,0.0041170097111413876,0.0036200032103806735,0.004509786516427994
rmse,model,surface_speed,1010,0.004085660089428226,0.0035544545855373142,0.004601848870515823
rmse,model,surface_speed,1020,0.004033680182571212,0.0036568965297192335,0.004507298581302166
rmse,model,surface_speed,1030,0.004050923977047205,0.003713013231754303,0.004533165041357279
