metric,model_or_method,field,lead_days,mean,p10,p90
rmse,model,surface_speed,0,0.0,0.0,0.0
rmse,model,surface_speed,10,0.0018950074212625624,0.0016806107014417648,0.0021059890277683735
rmse,model,surface_speed,20,0.0024050308857113123,0.0021348563488572834,0.0027004995848983527
rmse,model,surface_speed,30,0.0025927371345460413,0.002295475406572223,0.002861787797883153
rmse,model,surface_speed,40,0.003013377512494723,0.0026574956718832254,0.0035458780359476803
rmse,model,surface_speed,50,0.003433816833421588,0.002988120960071683,0.004176112916320562
rmse,model,surface_speed,60,0.00403286786749959,0.0034958377946168184,0.00501776272431016
rmse,model,surface_speed,70,0.004686791511873404,0.004111768305301666,0.005721614416688681
rmse,model,surface_speed,80,0.005447153747081756,0.004733886942267418,0.006555769592523575
rmse,model,surface_speed,90,0.006304420003046592,0.005534912273287773,0.007450844161212444
rmse,model,surface_speed,100,0.007243404102822145,0.006428769882768392,0.008235435374081135
rmse,model,surface_speed,110,0.008150494936853648,0.007388402428478003,0.009071106649935245
rmse,model,surface_speed,120,0.008850636519491672,0.008262408524751663,0.009752495773136615
rmse,model,surface_speed,130,0.009439409896731376,0.008816873840987682,0.010349013842642307
rmse,model,surface_speed,140,0.009920721997817357,0.0093911811709404,0.010709341615438461
rmse,model,surface_speed,150,0.010305946879088878,0.009816690906882286,0.011010653153061866
rmse,model,surface_speed,160,0.010655377432703972,0.010105996020138263,0.011298272386193275
rmse,model,surface_speed,170,0.010961531661450863,0.010475065186619758,0.011495330929756164
rmse,model,surface_speed,180,0.011154634567598501,0.01090771947056055,0.011520478129386901
rmse,model,surface_speed,190,0.011334550256530443,0.010927031934261321,0.011859112791717053
rmse,model,surface_speed,200,0.011521120369434357,0.01120066586881876,0.012007801420986652
rmse,model,surface_speed,210,0.011750652827322483,0.011431918852031231,0.012183291278779507
rmse,model,surface_speed,220,0.011925848573446274,0.011611329950392246,0.012338245660066605
rmse,model,surface_speed,230,0.012081991384426753,0.011753818951547146,0.01241520382463932
rmse,model,surface_speed,240,0.01224644457300504,0.011844662576913833,0.012636698782444
rmse,model,surface_speed,250,0.01236568931490183,0.011929162591695786,0.012808342464268208
rmse,model,surface_speed,260,0.012416746218999226,0.011898774281144142,0.012880648858845234
rmse,model,surface_speed,270,0.012482509699960549,0.011887173354625701,0.013097630999982356
rmse,model,surface_speed,280,0.01258542767415444,0.011953831650316715,0.013100584968924522
rmse,model,surface_speed,290,0.012689391896128655,0.012189961038529873,0.0132248530164361
rmse,model,surface_speed,300,0.0127311614031593,0.012205086462199689,0.013129764050245286
rmse,model,surface_speed,310,0.012787555841108163,0.01219188179820776,0.013124003820121289
rmse,model,surface_speed,320,0.012873384294410546,0.012317543104290962,0.013325696624815465
rmse,model,surface_speed,330,0.012969320267438888,0.012474352121353149,0.013400356099009515
rmse,model,surface_speed,340,0.013072499384482702,0.012676054611802101,0.01342718694359064
rmse,model,surface_speed,350,0.013070525725682576,0.012781079672276974,0.013328137248754502
rmse,model,surface_speed,360,0.013058950379490852,0.012768644839525223,0.01334429308772087
rmse,model,surface_speed,370,0.01305814894537131,0.012845970503985882,0.013343335874378682
rmse,model,surface_speed,380,0.013088411713639895,0.012876314483582974,0.013394120521843434
rmse,model,surface_speed,390,0.013091992152233918,0.01287346202880144,0.013361314870417118
rmse,model,surface_speed,400,0.013089651055634022,0.012784268334507942,0.013381914235651493
rmse,model,surface_speed,410,0.013127662303547064,0.01281503140926361,0.013457607291638852
rmse,model,surface_speed,420,0.013166809702912967,0.012801585160195828,0.01348998248577118
rmse,model,surface_speed,430,0.01320599044362704,0.012610886991024018,0.013630377314984798
rmse,model,surface_speed,440,0.013272609934210778,0.012615440227091313,0.013653014786541462
rmse,model,surface_speed,450,0.013376812636852264,0.012710174731910228,0.013815130293369293
rmse,model,surface_speed,460,0.013499714682499568,0.012905183620750904,0.013981286995112896
rmse,model,surface_speed,470,0.013575714888672034,0.013031250983476638,0.013907643966376781
rmse,model,surface_speed,480,0.013651677904029687,0.013125782832503319,0.01395870354026556
rmse,model,surface_speed,490,0.013719048537313937,0.013150843419134617,0.014080175198614597
rmse,model,surface_speed,500,0.013826791072885196,0.01330529898405075,0.014300336316227912
rmse,model,surface_speed,510,0.013929641184707483,0.013469438441097737,0.014446398429572582
rmse,model,surface_speed,520,0.013951060237983863,0.013531704619526862,0.014366680942475795
rmse,model,surface_speed,530,0.013969893132646878,0.013540742732584477,0.014420102536678314
rmse,model,surface_speed,540,0.013961306462685267,0.013440196588635444,0.014468532241880893
