metric,model_or_method,field,lead_days,mean,p10,p90
rmse,model,surface_speed,0,0.0,0.0,0.0
rmse,model,surface_speed,10,0.0011706019441286722,0.001007362175732851,0.001299333362840116
rmse,model,surface_speed,20,0.0014081714364389578,0.001248372346162796,0.0016307879704982042
rmse,model,surface_speed,30,0.0015829506407802304,0.0013717313995584846,0.0020202832296490666
rmse,model,surface_speed,40,0.001749070182753106,0.0014299310743808747,0.002338972082361579
rmse,model,surface_speed,50,0.001899269176647067,0.0015917422249913215,0.002605330152437091
rmse,model,surface_speed,60,0.00208591865375638,0.0017177503556013106,0.002876484766602516
rmse,model,surface_speed,70,0.00226004661526531,0.0019018686842173338,0.0029852415900677443
rmse,model,surface_speed,80,0.0024315702573706704,0.0020128169097006323,0.0032811255194246766
rmse,model,surface_speed,90,0.002626358283062776,0.002141145942732692,0.0036672722082585095
rmse,model,surface_speed,100,0.0028237853199243545,0.002244071802124381,0.004042253736406564
rmse,model,surface_speed,110,0.0031234375356386105,0.0024199118837714196,0.004573378432542086
rmse,model,surface_speed,120,0.003415216070910295,0.002613776456564665,0.005010385718196631
rmse,model,surface_speed,130,0.003752500656992197,0.0028252660762518645,0.005517648346722126
rmse,model,surface_speed,140,0.004063249115521709,0.003042600443586707,0.005959019716829062
rmse,model,surface_speed,150,0.004431545299788316,0.0032342832535505297,0.006506069470196963
rmse,model,surface_speed,160,0.0047503470132748285,0.0034745052456855775,0.006939720734953881
rmse,model,surface_speed,170,0.0051294148278733095,0.003760516224429011,0.007493236847221851
rmse,model,surface_speed,180,0.005562264751642942,0.0040808687917888165,0.008046647347509862
rmse,model,surface_speed,190,0.006017653302599986,0.004416641220450402,0.00857242476195097
rmse,model,surface_speed,200,0.006449409512182077,0.004824199806898832,0.009001076593995095
rmse,model,surface_speed,210,0.00687818368896842,0.005063507612794638,0.0094419926404953
rmse,model,surface_speed,220,0.007324214310695728,0.005457501858472824,0.009826961718499661
rmse,model,surface_speed,230,0.007775602427621682,0.005891299434006214,0.01001008991152048
rmse,model,surface_speed,240,0.00821727563937505,0.006353970617055893,0.010338746383786202
rmse,model,surface_speed,250,0.008647516804436843,0.00674818241968751,0.010729022137820721
rmse,model,surface_speed,260,0.009047389930735032,0.007328696828335523,0.0109227042645216
rmse,model,surface_speed,270,0.009378659104307492,0.007840042375028134,0.011122242733836173
rmse,model,surface_speed,280,0.009680892899632454,0.008200687542557716,0.011425016075372696
rmse,model,surface_speed,290,0.01001349271585544,0.008578461967408657,0.011637092754244804
rmse,model,surface_speed,300,0.010307105009754498,0.00888268481940031,0.011879407614469529
rmse,model,surface_speed,310,0.010564217219750087,0.009276721812784671,0.012055511958897114
rmse,model,surface_speed,320,0.010798049656053384,0.009519178047776222,0.012218146212399006
rmse,model,surface_speed,330,0.01101121964553992,0.00979949738830328,0.012318059056997299
rmse,model,surface_speed,340,0.011218549807866414,0.010177613608539105,0.012430115044116974
rmse,model,surface_speed,350,0.011420869454741477,0.010439150780439378,0.012526137195527554
rmse,model,surface_speed,360,0.011663992951313654,0.01080982368439436,0.012683298997581005
rmse,model,surface_speed,370,0.011890806443989276,0.011288300156593323,0.012930678762495517
rmse,model,surface_speed,380,0.012102460240324337,0.011610540375113488,0.013161618635058403
rmse,model,surface_speed,390,0.01226227805018425,0.011668127775192261,0.013214333541691303
rmse,model,surface_speed,400,0.012398176578183968,0.011812912672758103,0.013451121002435684
rmse,model,surface_speed,410,0.012477141804993153,0.011978823877871036,0.013452940434217454
rmse,model,surface_speed,420,0.012597854559620222,0.012194707058370113,0.013641366362571716
rmse,model,surface_speed,430,0.012680842292805512,0.012294410169124604,0.01363675929605961
rmse,model,surface_speed,440,0.01269589172055324,0.012234917655587197,0.013593857735395431
rmse,model,surface_speed,450,0.01275120172649622,0.012175448052585126,0.013789360597729682
