metric,model_or_method,field,lead_days,mean,p10,p90
rmse,model,surface_speed,0,0.0,0.0,0.0
rmse,model,surface_speed,10,0.0013433057504395644,0.0012699705082923173,0.00144827994517982
rmse,model,surface_speed,20,0.0019431293631593386,0.0017934405943378807,0.0021404187195003034
rmse,model,surface_speed,30,0.0023288069292902946,0.0021523851435631515,0.0025962031912058594
rmse,model,surface_speed,40,0.002637202649687727,0.0024505953304469587,0.0028251133393496276
rmse,model,surface_speed,50,0.0028861035437633595,0.002720250654965639,0.0030096732079982758
rmse,model,surface_speed,60,0.003098421078175306,0.0029365441761910914,0.003260499518364668
rmse,model,surface_speed,70,0.0033644281017283597,0.003188666980713606,0.0036925117019563913
rmse,model,surface_speed,80,0.0036589941009879112,0.0034485832322388886,0.004000650253146887
rmse,model,surface_speed,90,0.003917189734056592,0.0037140533328056335,0.0041876805014908315
rmse,model,surface_speed,100,0.0041854585210482275,0.003982168715447187,0.004439663141965866
rmse,model,surface_speed,110,0.004481990511218707,0.004288222175091505,0.004730920307338238
rmse,model,surface_speed,120,0.004816486934820811,0.004646202456206084,0.005076332204043865
rmse,model,surface_speed,130,0.005167356692254543,0.004954864364117384,0.005459305085241795
rmse,model,surface_speed,140,0.005501652602106333,0.005278243869543076,0.005756224878132344
rmse,model,surface_speed,150,0.005822163882354895,0.005578080378472805,0.006129285413771867
rmse,model,surface_speed,160,0.006136838626116514,0.005792872421443463,0.006479656416922807
rmse,model,surface_speed,170,0.006409784499555826,0.005993724148720503,0.0067870915867388245
rmse,model,surface_speed,180,0.006633427025129398,0.00623625386506319,0.007016210071742535
rmse,model,surface_speed,190,0.00682303486391902,0.006421535648405552,0.007156848534941673
rmse,model,surface_speed,200,0.0070070821791887285,0.006576141715049744,0.0073495772667229176
rmse,model,surface_speed,210,0.007200966589152813,0.006664567720144987,0.0076765683479607105
rmse,model,surface_speed,220,0.007405408502866824,0.006763600744307041,0.008063119277358055
rmse,model,surface_speed,230,0.007595785148441792,0.006939353514462709,0.008440737426280976
rmse,model,surface_speed,240,0.007775894397248824,0.007090863026678562,0.008683080971240997
rmse,model,surface_speed,250,0.00798769819860657,0.0072433240711688995,0.008935562334954739
rmse,model,surface_speed,260,0.008195134562750657,0.007381920702755451,0.0092891838401556
rmse,model,surface_speed,270,0.008395402909566958,0.007484780624508858,0.009612886235117912
rmse,model,surface_speed,280,0.008571660332381725,0.007657164055854082,0.00985519140958786
rmse,model,surface_speed,290,0.008717939537018538,0.007833634130656719,0.009995120018720627
rmse,model,surface_speed,300,0.008877522808810075,0.008014298230409621,0.01014509629458189
rmse,model,surface_speed,310,0.009046743003030619,0.0081945288926363,0.010279968567192554
rmse,model,surface_speed,320,0.009211244309941928,0.008412092179059982,0.010370690189301968
rmse,model,surface_speed,330,0.009353205375373364,0.008651277422904969,0.010391381941735745
rmse,model,surface_speed,340,0.009470610817273458,0.008759393356740475,0.010358786582946778
rmse,model,surface_speed,350,0.009599392861127853,0.008877981267869473,0.01035653855651617
rmse,model,surface_speed,360,0.009726832620799541,0.009002139233052731,0.010404962487518788
rmse,model,surface_speed,370,0.009823431819677353,0.009096394293010235,0.010487059690058231
rmse,model,surface_speed,380,0.009904225046435991,0.009174303151667118,0.01054107304662466
rmse,model,surface_speed,390,0.009973880151907604,0.009270254708826541,0.010517113469541072
rmse,model,surface_speed,400,0.010026742642124494,0.009397247061133384,0.010521590337157249
rmse,model,surface_speed,410,0.010054438437024752,0.00951815489679575,0.01054826658219099
rmse,model,surface_speed,420,0.010065829008817672,0.009617265872657299,0.010439297556877137
rmse,model,surface_speed,430,0.010078285758694013,0.009716604091227054,0.010316063091158867
rmse,model,surface_speed,440,0.010100671524802844,0.009843863174319267,0.010354997590184212
rmse,model,surface_speed,450,0.01012267917394638,0.009949808940291405,0.010313246212899686
rmse,model,surface_speed,460,0.010117323882877827,0.00993754118680954,0.01034629698842764
rmse,model,surface_speed,470,0.010105475472907225,0.009881566092371941,0.010405386239290238
rmse,model,surface_speed,480,0.010112963244318962,0.009858968295156955,0.010412539541721343
rmse,model,surface_speed,490,0.010142372734844685,0.009816910326480865,0.010470416396856308
rmse,model,surface_speed,500,0.010189337842166423,0.009761240519583225,0.01056269258260727
rmse,model,surface_speed,510,0.01019100584089756,0.009735871851444245,0.010597063601016999
rmse,model,surface_speed,520,0.01016741469502449,0.009763050824403763,0.01059922892600298
rmse,model,surface_speed,530,0.010181404277682304,0.009832094982266426,0.010730060189962387
rmse,model,surface_speed,540,0.010232349298894406,0.009900622814893723,0.010803874954581261
rmse,model,surface_speed,550,0.010284001256028812,0.009945197589695453,0.010836237668991089
rmse,model,surface_speed,560,0.010297624518473943,0.009910999052226543,0.010817022994160652
rmse,model,surface_speed,570,0.010304852885504564,0.009894447773694992,0.010749941132962704
rmse,model,surface_speed,580,0.010343797070284684,0.009829817898571491,0.01080540232360363
rmse,model,surface_speed,590,0.010369070929785569,0.009817736409604549,0.010769755952060223
