field,method,lead_days,mean,p10,p90
sst,model,0,0,0,0
sst,model,10,0.02103935877,0.02028518766,0.02168584503
sst,model,20,0.03680610185,0.03598314598,0.03746756464
sst,model,30,0.05430398236,0.05309491009,0.05563626587
sst,model,40,0.07419811934,0.07255623341,0.07579071373
sst,model,50,0.09687542717,0.09462419897,0.09848811179
sst,model,60,0.1242100085,0.1211418599,0.1269802064
sst,model,70,0.1583271146,0.1551924527,0.1614798725
sst,model,80,0.2016935805,0.1975609809,0.2059234113
sst,model,90,0.2574432164,0.2520855606,0.2625590563
sst,model,100,0.3317303697,0.3232992649,0.3384523988
sst,model,110,0.4299035649,0.416362983,0.4391797006
sst,model,120,0.5605014801,0.543420136,0.5708343744
sst,model,130,0.7363327503,0.7137896419,0.7506449461
sst,model,140,0.9735549808,0.9425988674,0.9929897308
sst,model,150,1.296811835,1.253072715,1.324094296
sst,model,160,1.740214777,1.68059082,1.777889824
sst,model,170,2.351721827,2.275387096,2.403805494
sst,model,180,3.196406285,3.098307085,3.266471386
sst,model,190,4.364041042,4.232131863,4.45682354
sst,model,200,5.981214778,5.800874615,6.110537529
sst,climatology,0,0.03658617685,0.03450839221,0.03805494308
sst,climatology,10,0.03649947743,0.03512419835,0.03721758872
sst,climatology,20,0.03635267392,0.03376135901,0.0382992737
sst,climatology,30,0.03739090537,0.03431334868,0.04113361612
sst,climatology,40,0.03720086217,0.03404859751,0.04097225443
sst,climatology,50,0.03608015229,0.03259437382,0.0386911422
sst,climatology,60,0.03751426861,0.03331771046,0.04051772356
sst,climatology,70,0.03816155816,0.03550938368,0.04060494229
sst,climatology,80,0.03616820648,0.03260925561,0.04013976082
sst,climatology,90,0.03652623942,0.03369181156,0.04011380523
sst,climatology,100,0.03828037779,0.03473720029,0.04067013413
sst,climatology,110,0.03784148917,0.03603065908,0.04001876116
sst,climatology,120,0.0375251693,0.03607067987,0.03982378989
sst,climatology,130,0.03780690854,0.03499833196,0.0406976074
sst,climatology,140,0.03716508175,0.03397498205,0.04021864608
sst,climatology,150,0.03672574436,0.03412216529,0.03889461681
sst,climatology,160,0.03683980107,0.03542201966,0.03744583726
sst,climatology,170,0.03649093633,0.03438213319,0.0377674982
sst,climatology,180,0.03726632819,0.03431216478,0.0409700416
sst,climatology,190,0.03772738328,0.03392893448,0.04158183932
sst,climatology,200,0.03646741236,0.03329593837,0.03878641725
sst,persistence,0,0,0,0
sst,persistence,10,0.02350770521,0.02158100307,0.02595172785
sst,persistence,20,0.036419072,0.0340898402,0.03976229876
sst,persistence,30,0.04428358724,0.04069879875,0.04845979586
sst,persistence,40,0.04969562391,0.04655996338,0.05190369636
sst,persistence,50,0.05051576098,0.04698084965,0.05433953255
sst,persistence,60,0.05095715672,0.04342140704,0.05533211604
sst,persistence,70,0.05054182783,0.04541725591,0.05704874918
sst,persistence,80,0.04924706568,0.04600549415,0.05680624321
sst,persistence,90,0.05056321,0.04689589068,0.05545237958
sst,persistence,100,0.05324694365,0.04945353493,0.05527219474
sst,persistence,110,0.05304073989,0.05120464861,0.05658347383
sst,persistence,120,0.04631380985,0.04321672246,0.04978242964
sst,persistence,130,0.03825944513,0.03428476527,0.04276869223
sst,persistence,140,0.02844716795,0.02470100299,0.03544211611
sst,persistence,150,0.007364583947,0.006586152222,0.00857874658
sst,persistence,160,0.0179313158,0.01632233039,0.01970068179
sst,persistence,170,0.03369510944,0.03142614514,0.03700493947
sst,persistence,180,0.04209556803,0.03847975135,0.04641429558
sst,persistence,190,0.04864619722,0.04598808661,0.05160379857
sst,persistence,200,0.05048264563,0.04783906639,0.05372856855
phihyd_surface,model,0,0,0,0
phihyd_surface,model,10,0.006713574876,0.006392868981,0.007247513719
phihyd_surface,model,20,0.01355660316,0.01276799999,0.01442592572
phihyd_surface,model,30,0.02243194704,0.02144129537,0.02333581559
phihyd_surface,model,40,0.03306988366,0.03163023293,0.03433252722
phihyd_surface,model,50,0.04584245756,0.04426939189,0.04718701914
phihyd_surface,model,60,0.06153841391,0.05959686339,0.06304721981
phihyd_surface,model,70,0.08116975725,0.07871082425,0.08299086839
phihyd_surface,model,80,0.1061574439,0.1038602918,0.1084252998
phihyd_surface,model,90,0.1389461954,0.1365702569,0.140803045
phihyd_surface,model,100,0.182353581,0.1788847029,0.1851703584
phihyd_surface,model,110,0.2401255409,0.2359210938,0.2439023614
phihyd_surface,model,120,0.3174248318,0.3095440447,0.3239755809
phihyd_surface,model,130,0.4218105435,0.4086398482,0.4304709733
phihyd_surface,model,140,0.5648142974,0.5452706337,0.5763912082
phihyd_surface,model,150,0.7624922117,0.7373139381,0.7799872279
phihyd_surface,model,160,1.038027636,1.006317592,1.063647747
phihyd_surface,model,170,1.422741572,1.385048485,1.458147812
phihyd_surface,model,180,1.959833479,1.912481427,2.013586569
phihyd_surface,model,190,2.708026075,2.643652725,2.792564583
phihyd_surface,model,200,3.746949561,3.651101112,3.878965807
phihyd_surface,climatology,0,0.07083700945,0.07041280419,0.0712373212
phihyd_surface,climatology,10,0.0706329897,0.07005259097,0.07112030387
phihyd_surface,climatology,20,0.07066518019,0.06990045607,0.07159763426
phihyd_surface,climatology,30,0.07109465053,0.07016291767,0.07210410386
phihyd_surface,climatology,40,0.07080529282,0.07022684664,0.07149454951
phihyd_surface,climatology,50,0.07080718825,0.07011466026,0.07183377147
phihyd_surface,climatology,60,0.07152201682,0.07033076733,0.07228082865
phihyd_surface,climatology,70,0.0715572238,0.07043802887,0.0724587068
phihyd_surface,climatology,80,0.07124400785,0.07011660486,0.07206739634
phihyd_surface,climatology,90,0.07156715194,0.07048007399,0.07225909978
phihyd_surface,climatology,100,0.07185892562,0.0714106366,0.07243873328
phihyd_surface,climatology,110,0.07187416404,0.07148264945,0.07234310061
phihyd_surface,climatology,120,0.07198643933,0.07162653208,0.07234129608
phihyd_surface,climatology,130,0.07179673761,0.0713113144,0.07222955227
phihyd_surface,climatology,140,0.07167243809,0.07110255957,0.07208951712
phihyd_surface,climatology,150,0.07196773887,0.07155771703,0.07236679494
phihyd_surface,climatology,160,0.07190970381,0.07137034237,0.07234512568
phihyd_surface,climatology,170,0.07175813218,0.07105423063,0.07243676782
phihyd_surface,climatology,180,0.07219560742,0.07134343237,0.07320736051
phihyd_surface,climatology,190,0.07211606701,0.07133820355,0.07312023938
phihyd_surface,climatology,200,0.07187305093,0.0713343367,0.07251625359
phihyd_surface,persistence,0,0,0,0
phihyd_surface,persistence,10,0.01287191864,0.01113850102,0.01445674151
phihyd_surface,persistence,20,0.0167971092,0.01383285131,0.02085509971
phihyd_surface,persistence,30,0.0215473894,0.01836070083,0.0255685553
