metric,model_or_method,field,lead_days,mean,p10,p90
rmse,model,surface_speed,0,0.0,0.0,0.0
rmse,model,surface_speed,10,0.0007035467928896348,0.0005772433127276599,0.0007983553921803832
rmse,model,surface_speed,20,0.000922690083583196,0.0008011548896320164,0.0010209242347627879
rmse,model,surface_speed,30,0.0010393828696881732,0.0008779242867603898,0.0011838775360956788
rmse,model,surface_speed,40,0.0011406261435089012,0.0008972158655524253,0.0014012712053954601
rmse,model,surface_speed,50,0.0012564596526014307,0.001023203693330288,0.0014787468826398253
rmse,model,surface_speed,60,0.001361930905841291,0.0009316362557001412,0.0016065004514530302
rmse,model,surface_speed,70,0.0014253306668251752,0.0010512409266084433,0.0016296884045004846
rmse,model,surface_speed,80,0.0014983185566961766,0.0011978332651779056,0.001722135953605175
rmse,model,surface_speed,90,0.0015785526018589735,0.0012991298455744982,0.0019567925017327068
rmse,model,surface_speed,100,0.0016599179788803061,0.001407044264487922,0.002106561930850148
rmse,model,surface_speed,110,0.0017355164047330618,0.0013759751804172994,0.002105563599616289
rmse,model,surface_speed,120,0.001840960451712211,0.0014196783769875765,0.0022598029579967258
rmse,model,surface_speed,130,0.0019408923961843052,0.001443680259399116,0.002410409599542618
rmse,model,surface_speed,140,0.002021153325525423,0.0014792524743825197,0.002714590029790997
rmse,model,surface_speed,150,0.002112541386547188,0.001528772199526429,0.003133756387978792
rmse,model,surface_speed,160,0.002199721421735982,0.0015137120615690946,0.003208186104893684
rmse,model,surface_speed,170,0.0022860187338665126,0.0015871944604441523,0.0031858818605542184
rmse,model,surface_speed,180,0.0023550149518996475,0.0017181042581796645,0.003438706789165735
rmse,model,surface_speed,190,0.0024362901070465646,0.001809238106943667,0.0037190668284893032
rmse,model,surface_speed,200,0.0025207282975316047,0.0018920340342447161,0.003562026564031839
rmse,model,surface_speed,210,0.002580513789628943,0.0019620499107986687,0.0035376999992877242
rmse,model,surface_speed,220,0.002660902760302027,0.0020162196829915046,0.0037995242513716217
rmse,model,surface_speed,230,0.0027436663241436083,0.0021714778151363133,0.004061928950250149
rmse,model,surface_speed,240,0.002789942997818192,0.002209857199341059,0.004203127324581146
rmse,model,surface_speed,250,0.002829758559043209,0.0022713851649314165,0.004136393684893846
rmse,model,surface_speed,260,0.0028674562616894644,0.002357309916988015,0.003986572287976741
rmse,model,surface_speed,270,0.0028870453592389823,0.002382610319182277,0.003860942274332046
rmse,model,surface_speed,280,0.0028987885763247807,0.0024696082808077337,0.0037473337724804874
rmse,model,surface_speed,290,0.0029521061573177577,0.002599777327850461,0.003752029314637184
rmse,model,surface_speed,300,0.0030172657376776137,0.0026583890430629253,0.0037880480289459225
rmse,model,surface_speed,310,0.0030890479994316895,0.002761676488444209,0.003857618104666471
rmse,model,surface_speed,320,0.003163611252481739,0.0028541225474327803,0.003918274492025375
rmse,model,surface_speed,330,0.003223395797734459,0.0029525434132665397,0.003994147200137376
rmse,model,surface_speed,340,0.0032817964131633443,0.002995547838509083,0.004053814616054296
rmse,model,surface_speed,350,0.003345039812847972,0.003043090319260955,0.0040650379844009875
rmse,model,surface_speed,360,0.003406755533069372,0.0030640831217169763,0.004083705320954322
rmse,model,surface_speed,370,0.003493214367578427,0.003111622529104352,0.0040776214562356465
rmse,model,surface_speed,380,0.0035373283239702384,0.003155240323394537,0.00403249217197299
rmse,model,surface_speed,390,0.0036006043509890636,0.0032359106000512837,0.004063480067998171
rmse,model,surface_speed,400,0.0036571783324082694,0.003265171963721514,0.004128612950444221
rmse,model,surface_speed,410,0.003745426439369718,0.0033435712102800608,0.0042568715289235115
rmse,model,surface_speed,420,0.0038246772872904938,0.003379871463403106,0.004298704024404287
rmse,model,surface_speed,430,0.0039103472760568065,0.0034666542429476976,0.004378364980220794
rmse,model,surface_speed,440,0.0040056352348377304,0.003563890838995576,0.004487843811511993
rmse,model,surface_speed,450,0.004135554687430461,0.003658437682315707,0.004739247169345617
rmse,model,surface_speed,460,0.004243548074737191,0.003678286913782358,0.00484071671962738
rmse,model,surface_speed,470,0.004376857308670878,0.0038050058763474228,0.0049825628288090226
rmse,model,surface_speed,480,0.004500878121082981,0.00392304859124124,0.005152498092502356
rmse,model,surface_speed,490,0.004621492760876814,0.0039980804547667505,0.005360357277095318
rmse,model,surface_speed,500,0.004724715386206905,0.0040891807526350025,0.005528266634792089
rmse,model,surface_speed,510,0.004807432228699326,0.0042092414572834965,0.005649029184132815
rmse,model,surface_speed,520,0.004850171816845735,0.0042811972089111805,0.005575019121170044
rmse,model,surface_speed,530,0.004888205338890354,0.004373824875801802,0.005498743616044521
rmse,model,surface_speed,540,0.004970100490997235,0.004508795496076345,0.005496249254792929
rmse,model,surface_speed,550,0.004995052733769019,0.004527663066983223,0.00544101819396019
rmse,model,surface_speed,560,0.0050223879516124725,0.004517389833927155,0.005625684093683958
rmse,model,surface_speed,570,0.005051763852437338,0.004630431532859802,0.005543178878724575
rmse,model,surface_speed,580,0.005126023106276989,0.004699796624481678,0.005602772533893585
rmse,model,surface_speed,590,0.005205907672643661,0.004659084510058165,0.005623213667422533
rmse,model,surface_speed,600,0.005296134948730468,0.004660558886826038,0.005646602250635624
rmse,model,surface_speed,610,0.005394395006199678,0.004862726386636496,0.005828338209539652
rmse,model,surface_speed,620,0.005478362056116263,0.00489028925076127,0.006083070300519466
rmse,model,surface_speed,630,0.0054883585001031555,0.004856030270457268,0.006066547613590956
rmse,model,surface_speed,640,0.005496585989991824,0.004932095482945442,0.005929526127874851
rmse,model,surface_speed,650,0.0054764227631191415,0.004994842037558555,0.005800076387822628
rmse,model,surface_speed,660,0.00543049747745196,0.005127753224223852,0.005793134216219187
rmse,model,surface_speed,670,0.005415081512182951,0.005111824814230203,0.005847415141761303
rmse,model,surface_speed,680,0.0054044942061106365,0.005079135484993458,0.0057455915957689285
rmse,model,surface_speed,690,0.005382407736033201,0.005162190459668636,0.005681807454675436
rmse,model,surface_speed,700,0.005392550180355708,0.005210436508059501,0.005619702953845262
rmse,model,surface_speed,710,0.005405781728525957,0.005258763395249844,0.005590092111378908
rmse,model,surface_speed,720,0.005410246923565865,0.005168401449918747,0.0057010650634765625
rmse,model,surface_speed,730,0.005409274933238824,0.0051119489595294,0.0057393436320126055
rmse,model,surface_speed,740,0.005427529693891605,0.005130841489881277,0.005732222925871611
rmse,model,surface_speed,750,0.005450488037119309,0.005107699893414974,0.0056996517814695835
rmse,model,surface_speed,760,0.005481898505240679,0.0051295488141477105,0.005829819384962321
rmse,model,surface_speed,770,0.0054932222701609135,0.0051578800193965435,0.005849179439246654
rmse,model,surface_speed,780,0.005532360790918271,0.005241698212921619,0.005768781714141369
rmse,model,surface_speed,790,0.00559884679193298,0.005332984309643507,0.005915908981114626
rmse,model,surface_speed,800,0.005648013638953368,0.005396687425673008,0.006010323017835617
rmse,model,surface_speed,810,0.005735026765614748,0.005439815577119589,0.005993668269366026
rmse,model,surface_speed,820,0.005842775758355856,0.005537209007889033,0.0062957220710814
rmse,model,surface_speed,830,0.005917214291791121,0.0055024653673172,0.0066090267151594165
rmse,model,surface_speed,840,0.006008428086837133,0.005518001690506935,0.006852045189589262
rmse,model,surface_speed,850,0.0061039960943162445,0.005614776257425546,0.00718400664627552
rmse,model,surface_speed,860,0.006212662098308405,0.005588546581566334,0.007397148199379444
rmse,model,surface_speed,870,0.006305666547268629,0.005809547193348408,0.007659180089831351
rmse,model,surface_speed,880,0.006330137824018796,0.005808604136109352,0.007799595408141613
rmse,model,surface_speed,890,0.0063475420698523525,0.00577929150313139,0.007822562381625176
rmse,model,surface_speed,900,0.006344688373307387,0.005781420506536961,0.007520196586847305
rmse,model,surface_speed,910,0.006337137365092834,0.005726637039333582,0.007369009777903557
rmse,model,surface_speed,920,0.006380950442204872,0.005899522360414267,0.007291232235729694
rmse,model,surface_speed,930,0.006402807620664437,0.0059816819615662094,0.007131447736173868
rmse,model,surface_speed,940,0.006425094821800788,0.006120048929005861,0.006974492035806179
rmse,model,surface_speed,950,0.006414399575442075,0.006006554421037436,0.006905706785619259
rmse,model,surface_speed,960,0.006409427709877491,0.006051874067634344,0.006832594331353903
rmse,model,surface_speed,970,0.006345329278459152,0.006010851263999939,0.0067213929258286955
rmse,model,surface_speed,980,0.006336545447508494,0.0060934764333069324,0.006589189823716879
rmse,model,surface_speed,990,0.006366565016408762,0.0061412388458848,0.006647183932363987
rmse,model,surface_speed,1000,0.0063415825987855595,0.006021726038306951,0.00666328463703394
rmse,model,surface_speed,1010,0.006335657276213169,0.006071326602250337,0.0067094692029058935
rmse,model,surface_speed,1020,0.0064025082004566984,0.006182420440018177,0.006638162769377232
rmse,model,surface_speed,1030,0.006429334140072266,0.006123507488518953,0.006738631892949342
rmse,model,surface_speed,1040,0.006426720103869836,0.005975611694157124,0.006796806678175926
rmse,model,surface_speed,1050,0.00642504251251618,0.006092491839081049,0.006646130885928869
rmse,model,surface_speed,1060,0.006461763909707467,0.006200859043747187,0.006818511337041855
rmse,model,surface_speed,1070,0.006449833326041698,0.005962355621159076,0.007036275323480367
rmse,model,surface_speed,1080,0.006438601110130548,0.005981363542377949,0.006984294857829809
rmse,model,surface_speed,1090,0.006546838736782471,0.00609939843416214,0.007064255326986313
rmse,model,surface_speed,1100,0.006584722362458706,0.006079012341797352,0.007181728165596724
rmse,model,surface_speed,1110,0.00670081510518988,0.005905939824879169,0.007505822647362948
rmse,model,surface_speed,1120,0.006770424110194047,0.0060011718422174455,0.0077737607061862946
rmse,model,surface_speed,1130,0.00694866335640351,0.006245521642267704,0.008091690950095654
rmse,model,surface_speed,1140,0.006922903812179962,0.006076486967504025,0.007984970323741436
rmse,model,surface_speed,1150,0.006946355787416299,0.006084930989891291,0.00793556310236454
rmse,model,surface_speed,1160,0.006960201046119134,0.006161564029753208,0.008057565428316593
rmse,model,surface_speed,1170,0.006978046149015427,0.006233596242964268,0.008160584047436715
rmse,model,surface_speed,1180,0.006929389014840126,0.006076966691762209,0.008100652508437634
rmse,model,surface_speed,1190,0.007000334809223811,0.006173505540937185,0.008081010170280933
rmse,model,surface_speed,1200,0.00702357841655612,0.006278476025909185,0.007954654470086097
rmse,model,surface_speed,1210,0.006989698981245359,0.006046630442142487,0.007875946164131164
rmse,model,surface_speed,1220,0.007017448358237743,0.005999068077653646,0.007829989865422248
rmse,model,surface_speed,1230,0.007086727612962325,0.006210957001894712,0.007831205055117607
rmse,model,surface_speed,1240,0.007047782062242428,0.006058453861624002,0.008065273985266685
rmse,model,surface_speed,1250,0.007029937083522479,0.005960262101143599,0.008262511901557445
rmse,model,surface_speed,1260,0.007097553865363201,0.006042846571654081,0.008404598385095597
rmse,model,surface_speed,1270,0.007102006083975236,0.0062626471742987634,0.008150395005941391
rmse,model,surface_speed,1280,0.007045971633245548,0.005892992205917835,0.008067545853555203
rmse,model,surface_speed,1290,0.006993313164760669,0.005995257571339607,0.007932278141379357
rmse,model,surface_speed,1300,0.007116857543587684,0.0063111002556979654,0.008084861561655998
rmse,model,surface_speed,1310,0.0070027545094490055,0.006185486819595099,0.0078165702521801
rmse,model,surface_speed,1320,0.006985527214904626,0.006193492002785206,0.007493371237069368
rmse,model,surface_speed,1330,0.006909997512896855,0.006247813999652863,0.007380212470889091
rmse,model,surface_speed,1340,0.00691791782155633,0.006515660416334867,0.0072939075529575344
rmse,model,surface_speed,1350,0.006820367431888978,0.006361323501914739,0.007249819580465555
rmse,model,surface_speed,1360,0.006883616310854753,0.006385635584592819,0.00730049628764391
rmse,model,surface_speed,1370,0.0069320008469124636,0.006506038177758455,0.0074057882651686665
rmse,model,surface_speed,1380,0.006895969590793053,0.006260385271161795,0.007338567823171616
