metric,model_or_method,field,lead_days,mean,p10,p90
rmse,model,surface_speed,0,0.0,0.0,0.0
rmse,model,surface_speed,10,0.0006833575743560989,0.0005688656354323029,0.0007611172623001039
rmse,model,surface_speed,20,0.0008951799905238052,0.0007713983301073313,0.000991556141525507
rmse,model,surface_speed,30,0.0010028268016564349,0.000853826105594635,0.0011484307935461402
rmse,model,surface_speed,40,0.0010928570642136036,0.0008622136432677507,0.0013360169949010014
rmse,model,surface_speed,50,0.0012033974208558599,0.0009894525748677552,0.001423581619746983
rmse,model,surface_speed,60,0.0012990461895242334,0.0008922196691855789,0.0015435202745720743
rmse,model,surface_speed,70,0.0013572530161278943,0.0010095698991790414,0.0015598675003275276
rmse,model,surface_speed,80,0.0014206555982430775,0.0011381977004930378,0.0016357388347387313
rmse,model,surface_speed,90,0.0014959456903549532,0.0012169802095741034,0.0018633971456438303
rmse,model,surface_speed,100,0.0015676613974695405,0.001314238039776683,0.002020070981234312
rmse,model,surface_speed,110,0.0016391908439497152,0.001288370811380446,0.0020290190353989598
rmse,model,surface_speed,120,0.0017380869792153438,0.001326408190652728,0.0021948309149593115
rmse,model,surface_speed,130,0.0018332977080717683,0.0013454429339617492,0.0023286726325750353
rmse,model,surface_speed,140,0.0019030030894403656,0.00136680300347507,0.002628029184415936
rmse,model,surface_speed,150,0.0019863640579084554,0.0014069990487769247,0.0030573727097362277
rmse,model,surface_speed,160,0.0020628379890695213,0.0013813687488436698,0.0030861286912113426
rmse,model,surface_speed,170,0.0021424657121921578,0.0014490790432319044,0.003026326559484005
rmse,model,surface_speed,180,0.0022072218203296264,0.0015664640348404645,0.003316839737817645
rmse,model,surface_speed,190,0.002286551302919785,0.0016413391102105379,0.0035947138443589207
rmse,model,surface_speed,200,0.0023634890094399452,0.001707663363777101,0.0034063176717609163
rmse,model,surface_speed,210,0.0024139824556186793,0.001761994045227766,0.003376009361818433
rmse,model,surface_speed,220,0.002486616636936863,0.001816726615652442,0.003715448826551437
rmse,model,surface_speed,230,0.0025596810349573693,0.001948053645901382,0.00391800757497549
rmse,model,surface_speed,240,0.002599572188531359,0.001989490957930684,0.004060458578169345
rmse,model,surface_speed,250,0.002630455202112595,0.002034333162009716,0.003981778398156166
rmse,model,surface_speed,260,0.0026539799757301806,0.00211061118170619,0.0038020267151296135
rmse,model,surface_speed,270,0.002660002109284202,0.0021264390554279087,0.0036778082139790054
rmse,model,surface_speed,280,0.0026667739575107893,0.0022179246414452793,0.003545776847749948
rmse,model,surface_speed,290,0.002707302523776889,0.002324789576232433,0.003512700088322162
rmse,model,surface_speed,300,0.002763000037521124,0.002362862741574645,0.003534889686852693
rmse,model,surface_speed,310,0.0028222148151447377,0.002434985572472215,0.0035957817919552324
rmse,model,surface_speed,320,0.0028862204557905595,0.002520092483609915,0.003611802868545055
rmse,model,surface_speed,330,0.0029253136832267045,0.0025851080659776925,0.0036834461614489553
rmse,model,surface_speed,340,0.0029736020136624576,0.002665698388591409,0.0037262773141264914
rmse,model,surface_speed,350,0.0030254930568238097,0.0027553100138902665,0.0036971268244087693
rmse,model,surface_speed,360,0.003072447112450997,0.0028517525643110275,0.0036950664594769473
rmse,model,surface_speed,370,0.0031428382421533267,0.0029308537486940622,0.003636288829147815
