metric,model_or_method,field,lead_days,mean,p10,p90
rmse,model,surface_speed,0,0.0,0.0,0.0
rmse,model,surface_speed,10,0.000672147423028946,0.0005536813288927079,0.0007512932643294334
rmse,model,surface_speed,20,0.0008896450395695865,0.0007455389364622534,0.0009896416682749986
rmse,model,surface_speed,30,0.0009892106793510417,0.0008195591624826194,0.0011255561839789152
rmse,model,surface_speed,40,0.0010692607766638199,0.0008647841517813504,0.0012699384242296219
rmse,model,surface_speed,50,0.0011782521847635507,0.0009888873202726245,0.001369770267046988
rmse,model,surface_speed,60,0.0012616974262831112,0.0008798280381597578,0.0014743200037628413
rmse,model,surface_speed,70,0.0013110229784312347,0.0009770767646841705,0.001498091034591198
rmse,model,surface_speed,80,0.0013686502041916051,0.0011144425719976426,0.0015632119961082936
rmse,model,surface_speed,90,0.0014422536555988093,0.001198256923817098,0.0017926920671015977
rmse,model,surface_speed,100,0.0015038428517679372,0.0012728638481348752,0.0019208612851798533
rmse,model,surface_speed,110,0.001574370676341156,0.0012461028527468443,0.0019699622411280867
rmse,model,surface_speed,120,0.0016743623108292618,0.0012662619585171342,0.002164157247170806
rmse,model,surface_speed,130,0.0017681728893270095,0.0013026576722040772,0.0022982260677963493
rmse,model,surface_speed,140,0.001827309785100321,0.0013157267356291413,0.0025529387407004834
rmse,model,surface_speed,150,0.001908575293297569,0.0013587431982159614,0.0029955071862787005
rmse,model,surface_speed,160,0.0019791125707949203,0.0013078776886686684,0.002956700278446078
rmse,model,surface_speed,170,0.0020403121520454685,0.0013663239078596234,0.002866477146744728
rmse,model,surface_speed,180,0.002110740783003469,0.0014865750912576915,0.0032036281190812588
rmse,model,surface_speed,190,0.002184924941199521,0.0015370703302323818,0.0034226806368678805
rmse,model,surface_speed,200,0.002257630384216706,0.0016060874098911882,0.0032463221345096823
rmse,model,surface_speed,210,0.002296324757238229,0.0016568765975534915,0.003271982120350003
rmse,model,surface_speed,220,0.0023647542499626675,0.001688396604731679,0.0036233598832041023
rmse,model,surface_speed,230,0.0024232359991098445,0.0017899067141115665,0.0037421751767396927
rmse,model,surface_speed,240,0.0024671008655180533,0.001811938895843923,0.003892199322581291
