metric,model_or_method,field,lead_days,mean,p10,p90
rmse,model,surface_speed,0,0.0,0.0,0.0
rmse,model,surface_speed,10,0.0011991966981440782,0.0010758554795756935,0.0013086300110444426
rmse,model,surface_speed,20,0.0014394858774418632,0.0013334404211491346,0.0014954638667404653
rmse,model,surface_speed,30,0.001601259239638845,0.0013142002513632177,0.0018140815896913408
rmse,model,surface_speed,40,0.0017884644602114955,0.001534794201143086,0.002090213634073734
rmse,model,surface_speed,50,0.001977075713997086,0.0016498048324137926,0.002201435808092356
rmse,model,surface_speed,60,0.002171691631277402,0.0018675849307328463,0.0024072609841823576
rmse,model,surface_speed,70,0.0022954055729011696,0.0019563296111300586,0.0025188987608999016
rmse,model,surface_speed,80,0.00249744748386244,0.002089401660487056,0.0028951162472367286
rmse,model,surface_speed,90,0.0026524106971919535,0.0022313280031085016,0.0032685447484254834
rmse,model,surface_speed,100,0.0027676067004601163,0.0023295705206692217,0.0032039816956967115
rmse,model,surface_speed,110,0.002878083661198616,0.0023070340044796466,0.0032021882478147743
rmse,model,surface_speed,120,0.0030571833873788514,0.002326895762234926,0.0035802229307591916
rmse,model,surface_speed,130,0.003217720628405611,0.0024049528408795597,0.0038976436480879784
rmse,model,surface_speed,140,0.003331022057682276,0.0025499273091554643,0.004099635407328606
rmse,model,surface_speed,150,0.0034848793564985197,0.0027164746541529896,0.004524377267807722
rmse,model,surface_speed,160,0.0036471519929667314,0.0027485094498842953,0.004678182676434516
rmse,model,surface_speed,170,0.0037624065298587084,0.0028179953806102276,0.004648728016763926
rmse,model,surface_speed,180,0.0039044452365487813,0.0030076928436756135,0.004846630524843931
rmse,model,surface_speed,190,0.004031514733408888,0.0031573194544762375,0.005104025173932314
rmse,model,surface_speed,200,0.004152259587620695,0.0033244630321860313,0.00507476357743144
rmse,model,surface_speed,210,0.004238034800315897,0.0034715561196208,0.0049891935661435126
rmse,model,surface_speed,220,0.004363699878255526,0.0036193888168781995,0.0050055313855409626
rmse,model,surface_speed,230,0.0045120490714907644,0.003822657745331526,0.005172825884073973
rmse,model,surface_speed,240,0.00468455475444595,0.004150623455643654,0.005243630148470402
rmse,model,surface_speed,250,0.004839463780323665,0.004417496174573899,0.0053993075154721735
rmse,model,surface_speed,260,0.004989718894163767,0.004641329124569893,0.0055008123628795145
rmse,model,surface_speed,270,0.005159269738942385,0.004771517682820558,0.00558161623775959
rmse,model,surface_speed,280,0.005324111102769772,0.005001424625515938,0.005636295583099127
rmse,model,surface_speed,290,0.005507278194030126,0.0050824923440814015,0.0058429518714547156
rmse,model,surface_speed,300,0.005702258677532276,0.0052074695006012915,0.006222223676741123
rmse,model,surface_speed,310,0.005913328162084023,0.005379178654402494,0.006550904363393784
rmse,model,surface_speed,320,0.006055783946067095,0.005580170266330242,0.0067918596789240835
rmse,model,surface_speed,330,0.006184466555714608,0.005733938328921795,0.006778717413544655
rmse,model,surface_speed,340,0.006362708347539107,0.005780620500445366,0.00709211677312851
rmse,model,surface_speed,350,0.006549761754771074,0.00591558963060379,0.007349649257957935
rmse,model,surface_speed,360,0.006661434844136238,0.005971762631088495,0.007490491308271885
rmse,model,surface_speed,370,0.006710717268288135,0.005911936052143574,0.007371227815747261
rmse,model,surface_speed,380,0.006822347734123468,0.006074199080467224,0.007478003855794668
rmse,model,surface_speed,390,0.006943156383931637,0.0062650546431541445,0.007603595219552517
rmse,model,surface_speed,400,0.00694964462891221,0.006324929092079401,0.007532436959445476
rmse,model,surface_speed,410,0.0070018012076616285,0.006346192304044962,0.007450355775654316
rmse,model,surface_speed,420,0.007059921510517597,0.006267755385488271,0.0075391997583210465
rmse,model,surface_speed,430,0.007125646993517876,0.006526410114020109,0.0074968508444726465
rmse,model,surface_speed,440,0.0071124456822872165,0.006578144524246455,0.007465474400669336
rmse,model,surface_speed,450,0.007216207093248764,0.006797933112829923,0.0077065094374120235
rmse,model,surface_speed,460,0.007303075181941191,0.006977970991283655,0.00777747631072998
rmse,model,surface_speed,470,0.007339313471068938,0.006998540554195643,0.007807616703212261
rmse,model,surface_speed,480,0.007382686343044042,0.006885938066989184,0.007805918343365192
rmse,model,surface_speed,490,0.007541378028690815,0.007101115770637989,0.007958585582673549
rmse,model,surface_speed,500,0.007606551082183917,0.007195542566478252,0.00798190999776125
rmse,model,surface_speed,510,0.007638181280344725,0.007068666815757752,0.008194400370121003
rmse,model,surface_speed,520,0.007699581204603115,0.007006439566612244,0.008355091139674187
rmse,model,surface_speed,530,0.007806854757169883,0.0071536566130816935,0.008426650799810887
rmse,model,surface_speed,540,0.00781466399009029,0.007079648319631815,0.008480565063655377
rmse,model,surface_speed,550,0.007822091691195965,0.007015070784837008,0.00853189267218113
rmse,model,surface_speed,560,0.007906622315446536,0.00717539619654417,0.008596903271973133
rmse,model,surface_speed,570,0.0079441807543238,0.0072287975810468195,0.008677415549755096
rmse,model,surface_speed,580,0.007992114468167225,0.007229381334036588,0.008676590397953987
