metric,model_or_method,field,lead_days,mean,p10,p90
rmse,model,surface_speed,0,0.0,0.0,0.0
rmse,model,surface_speed,10,0.0006351075096366306,0.0005372041719965637,0.0007098993402905763
rmse,model,surface_speed,20,0.0008301888049269716,0.000706936209462583,0.0009208708303049207
rmse,model,surface_speed,30,0.0009260762211245795,0.0007941263145767152,0.0010538804344832897
rmse,model,surface_speed,40,0.0010032196956065794,0.0007955658249557019,0.0011988127138465644
rmse,model,surface_speed,50,0.0011093896386834483,0.0009121421026065946,0.0013055816758424043
rmse,model,surface_speed,60,0.0011908379344580074,0.0008372367126867176,0.0014053989900276065
rmse,model,surface_speed,70,0.0012421160393084089,0.0009485551272518933,0.0014151333831250667
rmse,model,surface_speed,80,0.0012872479118717214,0.0010334552498534322,0.0014640979701653124
rmse,model,surface_speed,90,0.001362845414162924,0.0011031253030523657,0.0016804843209683893
rmse,model,surface_speed,100,0.0014247867356364926,0.001171200955286622,0.0018810735549777743
rmse,model,surface_speed,110,0.0014966402590895693,0.0011541965650394559,0.0019286393653601406
rmse,model,surface_speed,120,0.0015873015314961474,0.0011988651007413865,0.002101284358650446
rmse,model,surface_speed,130,0.0016786650987342,0.0012172739254310728,0.002239940734580159
rmse,model,surface_speed,140,0.0017284112516790628,0.0012285924050956965,0.002472722763195634
rmse,model,surface_speed,150,0.0018026407031963268,0.0012801250442862511,0.0029195751994848247
rmse,model,surface_speed,160,0.0018707643263041972,0.001244876137934625,0.0028548313770443198
rmse,model,surface_speed,170,0.0019476124551147222,0.0013093347195535898,0.0027667067945003508
rmse,model,surface_speed,180,0.0020065317551294965,0.0013991009909659624,0.003140544611960649
rmse,model,surface_speed,190,0.0020933367079123853,0.00145355979911983,0.003376896725967526
rmse,model,surface_speed,200,0.002159839069160322,0.0015049502719193697,0.0031401301268488167
rmse,model,surface_speed,210,0.002200671937316656,0.0015317160869017243,0.0031469158828258516
rmse,model,surface_speed,220,0.002266977704130113,0.0016007451573386788,0.0035290594212710855
rmse,model,surface_speed,230,0.0023332465440034865,0.0016674863873049617,0.0036925203166902065
rmse,model,surface_speed,240,0.00237039173177133,0.0017033746466040612,0.00385750001296401
