metric,model_or_method,field,lead_days,mean,p10,p90
rmse,model,surface_speed,0,0.0,0.0,0.0
rmse,model,surface_speed,10,0.0006114145333413034,0.000522399868350476,0.0006876536062918603
rmse,model,surface_speed,20,0.0007978777323539058,0.0006795314140617848,0.0008839391171932221
rmse,model,surface_speed,30,0.0008916009295110902,0.0007785030640661717,0.001010790653526783
rmse,model,surface_speed,40,0.0009643538466965159,0.0007700199726969004,0.0011357510695233942
rmse,model,surface_speed,50,0.0010668458261837563,0.0008774881600402296,0.0012452096212655305
rmse,model,surface_speed,60,0.001146712099822859,0.0008205689606256783,0.0013454630970954895
rmse,model,surface_speed,70,0.0011981143228088815,0.0009302734630182386,0.0013475350104272365
rmse,model,surface_speed,80,0.0012378248153254389,0.0010000751353800297,0.001406525424681604
rmse,model,surface_speed,90,0.001310545194428414,0.001070268382318318,0.0016164437867701052
rmse,model,surface_speed,100,0.0013727696457256874,0.0011241219704970717,0.0018375191837549207
rmse,model,surface_speed,110,0.0014446700845534603,0.001106268120929599,0.0018945728894323108
rmse,model,surface_speed,120,0.0015344682770470778,0.0011519801337271929,0.0020832456648349758
rmse,model,surface_speed,130,0.0016200880597655972,0.0011650579050183295,0.0022253987379372117
rmse,model,surface_speed,140,0.001663729501888156,0.0011696772649884223,0.0024316251277923585
rmse,model,surface_speed,150,0.0017284989512215058,0.0012101254193112253,0.002866645203903317
rmse,model,surface_speed,160,0.0017955554105962316,0.0011882136575877666,0.002760675363242626
rmse,model,surface_speed,170,0.0018701530682543913,0.0012483699014410377,0.0026746992487460372
rmse,model,surface_speed,180,0.0019276918843388557,0.001327744941227138,0.003070057276636362
rmse,model,surface_speed,190,0.0020125865703448653,0.0013761619804427028,0.0032744918484240767
rmse,model,surface_speed,200,0.0020759203548853596,0.001411892962642014,0.0030482260044664145
rmse,model,surface_speed,210,0.002113283107367655,0.001430999767035246,0.0030474197585135697
rmse,model,surface_speed,220,0.0021788150692979495,0.0015034885611385107,0.0034397881943732497
rmse,model,surface_speed,230,0.002245539768288533,0.0015618387376889586,0.0035781712271273137
rmse,model,surface_speed,240,0.0022834383106480043,0.0016045150347054004,0.003767292015254497
rmse,model,surface_speed,250,0.0022968421302114925,0.0016430175630375743,0.0037481233477592462
rmse,model,surface_speed,260,0.0022996767268826566,0.0017114249523729086,0.0035698277875781054
rmse,model,surface_speed,270,0.002280679647810757,0.001710830209776759,0.0033845543861389157
rmse,model,surface_speed,280,0.002280661618957917,0.0017700054682791232,0.0032160821370780463
rmse,model,surface_speed,290,0.002289150880339245,0.0018369033467024564,0.003149363026022911
rmse,model,surface_speed,300,0.002319100072296957,0.0018841198878362774,0.0031215842347592114
rmse,model,surface_speed,310,0.002339185735521217,0.0019277609419077635,0.0031275273766368625
rmse,model,surface_speed,320,0.002379460399970412,0.001993327122181654,0.0031303259078413245
rmse,model,surface_speed,330,0.002395764614144961,0.002048439346253872,0.003157997177913785
rmse,model,surface_speed,340,0.0024366633811344703,0.002133804140612483,0.003173949290066957
rmse,model,surface_speed,350,0.0024640443890045086,0.0021989641711115835,0.0031379985623061655
rmse,model,surface_speed,360,0.002494873184089859,0.0022486970294266937,0.0031009436119347807
rmse,model,surface_speed,370,0.002542616504554947,0.002324063703417778,0.0030648774467408654
rmse,model,surface_speed,380,0.0025740738026797773,0.0023523434065282345,0.003079701494425535
rmse,model,surface_speed,390,0.0026145448442548513,0.002410581521689892,0.0031247297301888466
rmse,model,surface_speed,400,0.0026629692098746696,0.0024699062574654817,0.003133049141615629
rmse,model,surface_speed,410,0.002716550199935834,0.00246661682613194,0.0031245183665305374
rmse,model,surface_speed,420,0.002756771072745323,0.0024684426840394734,0.003131047775968909
rmse,model,surface_speed,430,0.0028226537629961967,0.0024985271040350197,0.0032359849195927382
rmse,model,surface_speed,440,0.002875487459823489,0.0025448552798479794,0.003288394445553422
rmse,model,surface_speed,450,0.0029538407145688933,0.00254253214225173,0.003389898221939802
rmse,model,surface_speed,460,0.003033956450720628,0.0025351003278046846,0.003491534944623709
rmse,model,surface_speed,470,0.0031357104579607647,0.00260267099365592,0.003615250252187252
rmse,model,surface_speed,480,0.0032386074773967264,0.002654050849378109,0.003854153025895357
rmse,model,surface_speed,490,0.0033843971012781065,0.002735874615609646,0.00423855697736144
rmse,model,surface_speed,500,0.0034837879240512846,0.0027611794881522655,0.0046487851068377495
rmse,model,surface_speed,510,0.003585658796752493,0.002827510703355074,0.004939158260822296
rmse,model,surface_speed,520,0.003645321105917295,0.0028979115653783084,0.0049721311777830126
rmse,model,surface_speed,530,0.0037022294476628304,0.0029553712345659735,0.004860194027423858
rmse,model,surface_speed,540,0.0037719618529081346,0.0030296174809336662,0.004678706824779511
rmse,model,surface_speed,550,0.003838841322188576,0.0031355238519608975,0.0047343441285192965
rmse,model,surface_speed,560,0.0038964406897624335,0.0032391296699643135,0.004802516289055347
rmse,model,surface_speed,570,0.003952946343148748,0.0033134890254586935,0.0048512395471334456
rmse,model,surface_speed,580,0.0040334129706025125,0.0034116259310394527,0.004821288678795099
rmse,model,surface_speed,590,0.0041372135436783235,0.00348064424470067,0.004853255860507488
rmse,model,surface_speed,600,0.004269388302539786,0.0036023600958287718,0.00492461072281003
rmse,model,surface_speed,610,0.00440971958450973,0.0036828374955803155,0.004984349571168422
rmse,model,surface_speed,620,0.0045426874111096065,0.0038368864450603725,0.005116445291787386
rmse,model,surface_speed,630,0.004607238077248136,0.003854271862655878,0.005116268806159496
rmse,model,surface_speed,640,0.004619247078274687,0.003909501014277339,0.005125008057802916
rmse,model,surface_speed,650,0.004603733867406845,0.00399454515427351,0.005027961917221546
rmse,model,surface_speed,660,0.004607219869891803,0.004092123731970787,0.004994463082402945
rmse,model,surface_speed,670,0.004558361973613501,0.004092687088996172,0.004871336650103331
rmse,model,surface_speed,680,0.004542367191364368,0.004173785913735628,0.0049077714793384075
rmse,model,surface_speed,690,0.004533468217899402,0.004246251471340656,0.004897391609847546
rmse,model,surface_speed,700,0.004542491678148508,0.004234686680138111,0.0049186524935066695
rmse,model,surface_speed,710,0.004559100605547428,0.004284439235925674,0.004964185785502195
rmse,model,surface_speed,720,0.00456362705056866,0.004350211471319199,0.004903475102037191
rmse,model,surface_speed,730,0.004560013270626466,0.004341515805572271,0.0049205169081687926
rmse,model,surface_speed,740,0.004572732467204332,0.004363521374762059,0.0050056113861501215
rmse,model,surface_speed,750,0.004586398229002952,0.004333790019154548,0.005074958596378565
rmse,model,surface_speed,760,0.004624718613922596,0.004324641078710556,0.005160829331725836
rmse,model,surface_speed,770,0.004643895911673705,0.004344875179231167,0.005258056055754423
rmse,model,surface_speed,780,0.004683559077481429,0.00436311075463891,0.005385134555399417
rmse,model,surface_speed,790,0.004718860828628143,0.004347945936024189,0.005445628333836793
rmse,model,surface_speed,800,0.004758385941386223,0.004362093284726143,0.005590511951595545
rmse,model,surface_speed,810,0.004810708171377579,0.0044095108285546305,0.005793159920722246
rmse,model,surface_speed,820,0.0048712602816522125,0.004424610454589128,0.0060318981297314165
rmse,model,surface_speed,830,0.004939848308761915,0.004421155247837305,0.006237659975886345
rmse,model,surface_speed,840,0.004999328870326281,0.004427323304116726,0.006385082751512527
rmse,model,surface_speed,850,0.005059486410270135,0.004432892054319381,0.006589795183390378
rmse,model,surface_speed,860,0.00511483121663332,0.004437385965138674,0.006715807318687438
rmse,model,surface_speed,870,0.0051726112452646095,0.004447677265852689,0.0068891895003616805
rmse,model,surface_speed,880,0.0052240257461865745,0.004430031403899193,0.007022828515619039
rmse,model,surface_speed,890,0.005218699760735035,0.004420152306556702,0.006847130320966243
rmse,model,surface_speed,900,0.005200516153126955,0.004412410501390696,0.006625238340348005
rmse,model,surface_speed,910,0.00521517830590407,0.004474589601159096,0.00637581767514348
rmse,model,surface_speed,920,0.005196129344403744,0.004525897093117237,0.006282987445592881
rmse,model,surface_speed,930,0.0051895284404357275,0.004546376317739487,0.006107143592089415
rmse,model,surface_speed,940,0.005165630423774322,0.004574684798717499,0.006137196347117424
rmse,model,surface_speed,950,0.005168025909612576,0.004591849073767662,0.00597481494769454
rmse,model,surface_speed,960,0.005144677714755138,0.004649524297565222,0.005767536070197821
rmse,model,surface_speed,970,0.0051352652721107,0.004686295427381993,0.005647437740117311
rmse,model,surface_speed,980,0.00511975372210145,0.00477424068376422,0.005581231694668532
rmse,model,surface_speed,990,0.0051234402693808075,0.004781183227896691,0.005523270275443792
rmse,model,surface_speed,1000,0.005137559026479721,0.0048355343751609325,0.005522796791046858
rmse,model,surface_speed,1010,0.005159643633912007,0.0048438673838973045,0.005548214912414551
rmse,model,surface_speed,1020,0.005148383602499962,0.004839272331446409,0.005563344154506922
rmse,model,surface_speed,1030,0.005171045971413453,0.004801843408495187,0.005531265307217837
rmse,model,surface_speed,1040,0.005204979920138916,0.004827168490737677,0.005557127762585878
rmse,model,surface_speed,1050,0.0052370793496569,0.0047986962832510475,0.005616670567542314
rmse,model,surface_speed,1060,0.005221645720303059,0.004828115459531546,0.00555613012984395
rmse,model,surface_speed,1070,0.005249688867479563,0.004884069040417671,0.005533133074641228
rmse,model,surface_speed,1080,0.0053155310451984406,0.004953733086585999,0.005542517360299826
rmse,model,surface_speed,1090,0.0053796100119749704,0.005042680446058512,0.005588442273437977
rmse,model,surface_speed,1100,0.005427739303559065,0.005124028772115707,0.005740412697196007
rmse,model,surface_speed,1110,0.005535376879076163,0.00523784589022398,0.006029935181140899
rmse,model,surface_speed,1120,0.005686777892212073,0.005311049427837134,0.006393651384860277
rmse,model,surface_speed,1130,0.005802770983427763,0.005448342487215996,0.00674580605700612
rmse,model,surface_speed,1140,0.005876916212340196,0.005454603489488364,0.006932022888213396
rmse,model,surface_speed,1150,0.005960870937754711,0.005446238350123167,0.006945704575628042
rmse,model,surface_speed,1160,0.006043125223368406,0.0054779921658337115,0.006907781213521957
rmse,model,surface_speed,1170,0.00614696362366279,0.005539354961365461,0.007055114023387432
