metric,model_or_method,field,lead_days,mean,p10,p90
rmse,model,surface_speed,0,0.0,0.0,0.0
rmse,model,surface_speed,10,0.0005774069558052967,0.0004921700456179678,0.0006554389954544603
rmse,model,surface_speed,20,0.0007513862879325946,0.0006454747635871172,0.00084137711673975
rmse,model,surface_speed,30,0.0008376346939864258,0.0007372016669251024,0.0009474308462813497
rmse,model,surface_speed,40,0.0009032094851136208,0.0007225750479847193,0.0010493810288608075
rmse,model,surface_speed,50,0.0009970801998861133,0.0008197303046472371,0.0011518626473844052
rmse,model,surface_speed,60,0.0010686586339337131,0.0007757192593999207,0.0012339211767539381
rmse,model,surface_speed,70,0.0011143311043269933,0.0008674960816279053,0.0012436009477823974
rmse,model,surface_speed,80,0.0011457433186781902,0.0009241614025086164,0.0012856334913522005
rmse,model,surface_speed,90,0.0012121300445869566,0.0009939067531377077,0.001476077758707106
rmse,model,surface_speed,100,0.0012663404767711958,0.001033222721889615,0.001681690802797675
rmse,model,surface_speed,110,0.0013303561136126518,0.0010164641309529543,0.0017757031600922344
rmse,model,surface_speed,120,0.0014083476969972252,0.001063832174986601,0.0019018895924091336
rmse,model,surface_speed,130,0.0014802411353836457,0.001086804107762873,0.0019890113733708856
rmse,model,surface_speed,140,0.0015027163860698541,0.0010674976278096438,0.002134167309850454
rmse,model,surface_speed,150,0.0015518707611287634,0.0011080927914008498,0.002529993141070008
rmse,model,surface_speed,160,0.0016165394724036257,0.0010868917685002088,0.0024601704906672237
rmse,model,surface_speed,170,0.001680793659761548,0.0011287103407084942,0.0024019515141844748
rmse,model,surface_speed,180,0.0017233925095448892,0.0012014529667794705,0.002747932355850935
rmse,model,surface_speed,190,0.001799730925510327,0.0012658830266445876,0.0028921106364578003
rmse,model,surface_speed,200,0.0018449353519827127,0.0012770173139870166,0.0026749384123831987
rmse,model,surface_speed,210,0.001874849176965654,0.00127506700810045,0.0027305207215249537
rmse,model,surface_speed,220,0.0019388516511147222,0.0013381371973082423,0.0030872260686010122
rmse,model,surface_speed,230,0.0020081776194274424,0.0013996877940371632,0.0032145076431334017
rmse,model,surface_speed,240,0.002049500176993509,0.0014044874114915729,0.003448342205956578
rmse,model,surface_speed,250,0.002057796367444098,0.0014445360517129301,0.0034559704363346096
rmse,model,surface_speed,260,0.002053955259422461,0.0015165816526859998,0.0032719931099563834
rmse,model,surface_speed,270,0.0020280694278577965,0.0015175622655078768,0.00305423098616302
rmse,model,surface_speed,280,0.002018587834512194,0.001554922596551478,0.0028583505656570194
rmse,model,surface_speed,290,0.0020124358357861637,0.0015823086723685265,0.0027777007780969143
rmse,model,surface_speed,300,0.00203490499407053,0.0016411260468885303,0.002739091124385595
rmse,model,surface_speed,310,0.002039374232602616,0.0016747497720643878,0.0027264407370239494
rmse,model,surface_speed,320,0.0020641322790955503,0.0017344195861369372,0.0027511680498719213
rmse,model,surface_speed,330,0.0020831319270655513,0.001779628312215209,0.0027703162282705306
rmse,model,surface_speed,340,0.0021166074632977447,0.0018367126816883684,0.0027750069741159676
rmse,model,surface_speed,350,0.002129661765260001,0.0018912284867838025,0.0027402115520089865
rmse,model,surface_speed,360,0.002159813892406722,0.0019292938522994518,0.0027074654120951887
rmse,model,surface_speed,370,0.0021983195018644135,0.001987366145476699,0.0026759349275380373
rmse,model,surface_speed,380,0.002231806640823682,0.00203603757545352,0.002691101841628551
rmse,model,surface_speed,390,0.002261938170219461,0.0020981378853321075,0.0027299602515995502
rmse,model,surface_speed,400,0.002305883029475808,0.002131567755714059,0.002731933584436774
rmse,model,surface_speed,410,0.0023510189882169166,0.002092324523255229,0.002714572148397565
rmse,model,surface_speed,420,0.0023728670397152505,0.0020865339785814284,0.002720393100753426
rmse,model,surface_speed,430,0.002418296116714676,0.0021330385468900205,0.002798856049776077
rmse,model,surface_speed,440,0.002457369832942883,0.0021693684626370668,0.0028233066666871307
