metric,model_or_method,field,lead_days,mean,p10,p90
rmse,model,surface_speed,0,0.0,0.0,0.0
rmse,model,surface_speed,10,0.0007326013253380855,0.0006162330391816795,0.0008574029663577675
rmse,model,surface_speed,20,0.0009522898627134661,0.0008302719914354384,0.001069338759407401
rmse,model,surface_speed,30,0.001085834096496304,0.0009229887858964503,0.0012196397176012397
rmse,model,surface_speed,40,0.0012048989340352515,0.0009578282828442752,0.0014739495469257235
rmse,model,surface_speed,50,0.001327887224033475,0.0010686028748750688,0.0015492264879867434
rmse,model,surface_speed,60,0.0014475702696169416,0.0009956090827472508,0.0016733639175072312
rmse,model,surface_speed,70,0.0015208520383263628,0.0011270867194980382,0.0017074631061404944
rmse,model,surface_speed,80,0.0016062339690203467,0.0013024249579757451,0.0018191954819485544
rmse,model,surface_speed,90,0.0016988602001219988,0.0014259184710681439,0.0020532324910163876
rmse,model,surface_speed,100,0.001800571964122355,0.0015651106368750334,0.00224872725084424
rmse,model,surface_speed,110,0.0018864001613110304,0.0015161304967477919,0.0022680436260998247
rmse,model,surface_speed,120,0.0020038979205613335,0.0015932139707729221,0.002424234617501497
rmse,model,surface_speed,130,0.002119713416323066,0.001627804385498166,0.0025952653028070926
rmse,model,surface_speed,140,0.002219513128511608,0.0017004109919071197,0.002915925346314907
rmse,model,surface_speed,150,0.0023290692052493492,0.0017718423157930374,0.0033524410799145696
rmse,model,surface_speed,160,0.002440478738086919,0.0017887955065816641,0.0034419354051351543
rmse,model,surface_speed,170,0.002550831801878909,0.0018897510366514326,0.0034464226104319096
rmse,model,surface_speed,180,0.002639389953886469,0.002028508670628071,0.003727047052234411
rmse,model,surface_speed,190,0.0027383739904810983,0.002132830023765564,0.004022259823977947
rmse,model,surface_speed,200,0.0028467594335476556,0.0022647933568805457,0.0038031155243515966
rmse,model,surface_speed,210,0.0029273466517527897,0.0023612217977643014,0.003812977112829685
rmse,model,surface_speed,220,0.003024991834536195,0.0024441883899271486,0.0040043917484581465
rmse,model,surface_speed,230,0.0031286376683662335,0.0026024981867522,0.004340184573084116
rmse,model,surface_speed,240,0.0031833687641968328,0.002618354046717286,0.004464348219335079
rmse,model,surface_speed,250,0.0032402116029212873,0.002697509340941906,0.00440857894718647
rmse,model,surface_speed,260,0.00329423863440752,0.002805881528183818,0.00430734260007739
rmse,model,surface_speed,270,0.0033340297173708676,0.002869374444708228,0.004199274722486734
rmse,model,surface_speed,280,0.003352179176484545,0.0029535218607634308,0.004091755859553813
rmse,model,surface_speed,290,0.0034230200418581564,0.0031052266247570516,0.004129915870726108
rmse,model,surface_speed,300,0.003509859104330341,0.0031984071247279644,0.004215259943157434
rmse,model,surface_speed,310,0.0036029728905608255,0.0032852481584995986,0.004354321211576462
rmse,model,surface_speed,320,0.003701860706011454,0.003368818899616599,0.00454034898430109
rmse,model,surface_speed,330,0.0038019250147044658,0.0034279996063560246,0.004583336971700191
rmse,model,surface_speed,340,0.0039010703408469756,0.003481930401176214,0.00471616918221116
rmse,model,surface_speed,350,0.004001509149869283,0.003564923582598567,0.004882617201656103
rmse,model,surface_speed,360,0.004099700956915816,0.0036052674520760776,0.004921728931367397
rmse,model,surface_speed,370,0.004231719595069686,0.003711894992738962,0.005025828350335359
rmse,model,surface_speed,380,0.004332884075120091,0.003863081056624651,0.004983102437108755
rmse,model,surface_speed,390,0.004430812814583381,0.004018265195190907,0.004961730539798736
rmse,model,surface_speed,400,0.004511636712898811,0.004042436182498932,0.004997135233134031
rmse,model,surface_speed,410,0.004614916040251652,0.004188343230634928,0.0051407114602625365
rmse,model,surface_speed,420,0.004710296106835207,0.004235171899199486,0.005120380874723196
rmse,model,surface_speed,430,0.004768460212896268,0.004283705446869135,0.005218183808028698
rmse,model,surface_speed,440,0.004861271909127633,0.004358242731541395,0.005311187263578177
rmse,model,surface_speed,450,0.004983442680289348,0.004433890711516142,0.005457545723766088
rmse,model,surface_speed,460,0.005068030798186859,0.004439649824053049,0.005597032327204943
rmse,model,surface_speed,470,0.005155585054308176,0.004560170322656631,0.005716521572321653
rmse,model,surface_speed,480,0.005267961975187063,0.004643586464226246,0.005919268820434809
rmse,model,surface_speed,490,0.0053580439028640585,0.004719472210854292,0.006144693680107593
rmse,model,surface_speed,500,0.005462702239553133,0.004845455102622509,0.006435767468065024
rmse,model,surface_speed,510,0.005565861022720734,0.004875242058187723,0.006785055715590715
rmse,model,surface_speed,520,0.005605463994046053,0.004936914425343275,0.006877543870359659
rmse,model,surface_speed,530,0.005649130108455817,0.004939810559153557,0.006711640302091837
rmse,model,surface_speed,540,0.005748092476278543,0.005138206295669079,0.006652641575783491
rmse,model,surface_speed,550,0.0058051634579896925,0.005155721493065357,0.006460459623485804
rmse,model,surface_speed,560,0.005827721146245798,0.0051605522632598875,0.006541807856410742
rmse,model,surface_speed,570,0.005855416723837455,0.005228021088987589,0.00643765265122056
rmse,model,surface_speed,580,0.00593729546914498,0.005377844348549843,0.00635701222345233
rmse,model,surface_speed,590,0.005984420794993639,0.005269403662532568,0.006480811629444361
rmse,model,surface_speed,600,0.006035998153189818,0.005248627532273531,0.006709740404039622
rmse,model,surface_speed,610,0.006132163107395172,0.005439840909093619,0.00700753778219223
rmse,model,surface_speed,620,0.006201590411365032,0.005543198063969612,0.007319035660475493
rmse,model,surface_speed,630,0.006165970892955859,0.005410511139780283,0.007314634043723345
rmse,model,surface_speed,640,0.006147921488930782,0.0055261231027543545,0.006983089912682772
rmse,model,surface_speed,650,0.006186422084768614,0.005621055979281664,0.006927157379686832
rmse,model,surface_speed,660,0.006096783373504877,0.0054774929769337176,0.006753244809806347
rmse,model,surface_speed,670,0.006100277882069349,0.005762039218097925,0.006553688179701566
rmse,model,surface_speed,680,0.006164449298133453,0.005735591519623995,0.00655133267864585
rmse,model,surface_speed,690,0.006146060768514872,0.005715684033930302,0.006554123573005199
rmse,model,surface_speed,700,0.0061493058378497755,0.005747390072792768,0.00653811302036047
rmse,model,surface_speed,710,0.006194660160690546,0.005951401311904192,0.006571675091981888
rmse,model,surface_speed,720,0.006193155640115341,0.005909317266196012,0.006542644742876291
rmse,model,surface_speed,730,0.006161245113859574,0.0059122701175510885,0.006614608876407147
rmse,model,surface_speed,740,0.006220361931870381,0.005972311832010746,0.006572962179780007
rmse,model,surface_speed,750,0.006337428310265143,0.005929701309651136,0.006641937140375376
