field,method,lead_days,mean_rmse,ratio_to_persistence,ratio_to_climatology
sst,persistence,10,0.02126200570448957,1.0,0.5426209865933002
sst,persistence,20,0.03522640228685406,1.0,0.9001781530154109
sst,persistence,30,0.04509611564377944,1.0,1.1534317700018888
sst,persistence,40,0.05337705723941326,1.0,1.3664374754651962
sst,persistence,50,0.057734857665167914,1.0,1.4794538785394342
sst,persistence,60,0.05915493487070004,1.0,1.517044118144268
sst,persistence,70,0.05897258225552462,1.0,1.5145661638308283
sst,persistence,80,0.058395823215444884,1.0,1.5010251011271203
sst,persistence,90,0.05845660299614624,1.0,1.502461953733359
sst,climatology,10,0.03918389857712167,1.8429069732046874,1.0
sst,climatology,20,0.039132700753570705,1.110891212645193,1.0
sst,climatology,30,0.03909734135700597,0.8669780267959522,1.0
sst,climatology,40,0.03906293423432443,0.7318300456151903,1.0
sst,climatology,50,0.039024439019461475,0.675925092701932,1.0
sst,climatology,60,0.03899354947110017,0.6591766106467986,1.0
sst,climatology,70,0.038936946872207855,0.6602550775798901,1.0
sst,climatology,80,0.03890396181356024,0.6662113773108123,1.0
sst,climatology,90,0.03890721016322021,0.6655742579804915,1.0
sst,source_step_14400,10,0.016205611523171817,0.7621863971069262,0.4135783347661531
sst,source_step_14400,20,0.030081875518792205,0.8539582121906979,0.7687145262021648
sst,source_step_14400,30,0.044874410772765126,0.9950837257743973,1.1477611831200372
sst,source_step_14400,40,0.06163822452503222,1.1547700025605565,1.5779210070417848
sst,source_step_14400,50,0.08115968668350466,1.4057311296095774,2.0797143718845095
sst,source_step_14400,60,0.10433290665624319,1.7637227880360695,2.6756452816271286
sst,source_step_14400,70,0.13267618086602953,2.2497943246092174,3.4074623596317517
sst,source_step_14400,80,0.16844366824737303,2.8845156891772703,4.329730454050077
sst,source_step_14400,90,0.214481933746073,3.6690796719784204,5.512652612364049
sst,fine_tune_480,10,0.015919793876646847,0.7487437496682313,0.40628407215054263
sst,fine_tune_480,20,0.02731508267008596,0.775415055095749,0.6980116921164345
sst,fine_tune_480,30,0.038916250049240056,0.8629623526036031,0.995368193808568
sst,fine_tune_480,40,0.05240835635750382,0.9818517368320906,1.34163900855796
sst,fine_tune_480,50,0.0688988378547408,1.1933663758957915,1.7655305133375772
sst,fine_tune_480,60,0.08947340902630929,1.512526541054925,2.2945694926444684
sst,fine_tune_480,70,0.11586576370453393,1.964739532728864,2.9757280170119293
sst,fine_tune_480,80,0.15002240926303245,2.5690606108854994,3.856224463256108
sst,fine_tune_480,90,0.19462655186653138,3.3294194648868354,5.002326074011749
sst,fine_tune_960,10,0.02609532228153613,1.2273217609017,0.6659705447679068
sst,fine_tune_960,20,0.047878059027371585,1.359152678649756,1.2234795479328857
sst,fine_tune_960,30,0.06792952752223722,1.5063276859324672,1.7374462089879348
sst,fine_tune_960,40,0.08754662279453543,1.6401545405896147,2.241168629816052
sst,fine_tune_960,50,0.1078348921680892,1.8677605960938775,2.7632656580742125
sst,fine_tune_960,60,0.12993916162738092,2.196590392862404,3.332324535464117
sst,fine_tune_960,70,0.15558106250785014,2.6381931493812982,3.995718077703204
sst,fine_tune_960,80,0.1870260124405225,3.202729273128163,4.807377031079989
sst,fine_tune_960,90,0.2271826600310979,3.8863472796405047,5.8390889266549975
sst,fine_tune_1440,10,0.034962654817435476,1.6443723749943755,0.8922709604462161
sst,fine_tune_1440,20,0.06339237547169128,1.7995699633325406,1.6199335658146974
sst,fine_tune_1440,30,0.08970678952281122,1.9892353973769663,2.2944473053469245
sst,fine_tune_1440,40,0.11490489452801368,2.1527019373254,2.9415326006679563
sst,fine_tune_1440,50,0.13951998357143666,2.416564086475797,3.5751951104757222
sst,fine_tune_1440,60,0.1642806632651223,2.7771252495536425,4.213021525185285
sst,fine_tune_1440,70,0.19048981084315866,3.230141933038948,4.892263676151896
sst,fine_tune_1440,80,0.22009746299849617,3.769061738995803,5.657456277930534
sst,fine_tune_1440,90,0.2563364317847623,4.3850723211142,6.588404326843316
sst,fine_tune_1920,10,0.014765091592239009,0.6944355014033926,0.37681527689692196
sst,fine_tune_1920,20,0.025220958243503615,0.7159674734344268,0.6444982778553127
sst,fine_tune_1920,30,0.034868128625331105,0.7731958313385427,0.8918286362988972
sst,fine_tune_1920,40,0.0450306407969307,0.8436328850980638,1.1527715897328181
sst,fine_tune_1920,50,0.05674807336181402,0.9829083443995527,1.4541675623706922
sst,fine_tune_1920,60,0.07145394548359844,1.2079118274710536,1.8324555331018557
sst,fine_tune_1920,70,0.09130271626291452,1.5482231364281351,2.344886376494094
sst,fine_tune_1920,80,0.11843721616875243,2.0281795794160056,3.04434845829687
sst,fine_tune_1920,90,0.15541384671297337,2.6586191935104244,3.994474187714679
phihyd_surface,persistence,10,0.009754924518832316,1.0,0.17787245838846022
phihyd_surface,persistence,20,0.014926056681131875,1.0,0.272929987631374
phihyd_surface,persistence,30,0.018731075685678257,1.0,0.343101726697543
phihyd_surface,persistence,40,0.02334490485696329,1.0,0.4286156814115875
phihyd_surface,persistence,50,0.026709982664841744,1.0,0.49152760670906565
phihyd_surface,persistence,60,0.029133702466195382,1.0,0.5370726886543459
phihyd_surface,persistence,70,0.030672949321430037,1.0,0.5670271488718385
phihyd_surface,persistence,80,0.03160226094639963,1.0,0.585344186617616
phihyd_surface,persistence,90,0.0318701282557514,1.0,0.5912464978342639
phihyd_surface,climatology,10,0.05484224262267903,5.622005840927179,1.0
phihyd_surface,climatology,20,0.05468822539680534,3.6639433016449066,1.0
phihyd_surface,climatology,30,0.05459335884424271,2.9145874887465584,1.0
phihyd_surface,climatology,40,0.054465820709312406,2.3330924260788497,1.0
phihyd_surface,climatology,50,0.05434075787456499,2.0344737230433902,1.0
phihyd_surface,climatology,60,0.05424536209277533,1.8619453588405963,1.0
phihyd_surface,climatology,70,0.05409432226033122,1.763583987097633,1.0
phihyd_surface,climatology,80,0.05398919416798486,1.7083965688263743,1.0
phihyd_surface,climatology,90,0.05390328462408097,1.691341942257587,1.0
phihyd_surface,source_step_14400,10,0.005484278731186081,0.5622061678282018,0.1000009931927575
phihyd_surface,source_step_14400,20,0.010840151117493708,0.7262568640246967,0.19821727691546095
phihyd_surface,source_step_14400,30,0.017453973386781636,0.9318190625927003,0.3197087293452414
phihyd_surface,source_step_14400,40,0.02591329186602875,1.1100191679855729,0.4757716220660597
phihyd_surface,source_step_14400,50,0.036705044239621475,1.3742069659946352,0.6754606611182694
phihyd_surface,source_step_14400,60,0.050477486248645516,1.7326148747216699,0.93054012916928
phihyd_surface,source_step_14400,70,0.06816121945502582,2.2221932015974786,1.2600438753442007
phihyd_surface,source_step_14400,80,0.09106798812195106,2.8816921762784893,1.6867817630060797
phihyd_surface,source_step_14400,90,0.12110415610174338,3.799926850934103,2.2466934426411713
phihyd_surface,fine_tune_480,10,0.007345771331650515,0.753032103679447,0.1339436715268971
phihyd_surface,fine_tune_480,20,0.01834215624947791,1.2288681894571891,0.3353949797491396
phihyd_surface,fine_tune_480,30,0.030672242254432706,1.6375056493890867,0.5618310157823772
phihyd_surface,fine_tune_480,40,0.044321476254198286,1.8985503057631063,0.8137484329988317
phihyd_surface,fine_tune_480,50,0.05958547078210998,2.2308315033293575,1.0965152698026661
phihyd_surface,fine_tune_480,60,0.07704355582180951,2.644482139240806,1.420279132620456
phihyd_surface,fine_tune_480,70,0.09759846532510387,3.181906777282597,1.804227527898531
phihyd_surface,fine_tune_480,80,0.12259120095383239,3.8791908326356284,2.2706618026636143
phihyd_surface,fine_tune_480,90,0.1541392871765075,4.836481545965883,2.8595527758923747
phihyd_surface,fine_tune_960,10,0.005802177212683967,0.5947946805208596,0.10579759206062408
phihyd_surface,fine_tune_960,20,0.010940941133432918,0.733009485838509,0.20006026990358408
phihyd_surface,fine_tune_960,30,0.017238486375383756,0.9203148107806893,0.31576160068417714
phihyd_surface,fine_tune_960,40,0.02547740837973025,1.0913477067408512,0.4677687409817034
phihyd_surface,fine_tune_960,50,0.036214155207077665,1.3558284803661154,0.666427128062346
phihyd_surface,fine_tune_960,60,0.05009707073784537,1.7195572995218973,0.9235272621494318
phihyd_surface,fine_tune_960,70,0.0679398846226158,2.214977239738363,1.2559522290648586
phihyd_surface,fine_tune_960,80,0.09091683111532971,2.876909068928109,1.6839819989245668
phihyd_surface,fine_tune_960,90,0.12088301794396507,3.7929881227305726,2.24259094389141
phihyd_surface,fine_tune_1440,10,0.006442257050528295,0.6604107533678227,0.11746888424770971
phihyd_surface,fine_tune_1440,20,0.01575868886343583,1.0557838014481407,0.2881550598706461
phihyd_surface,fine_tune_1440,30,0.026580219136344063,1.4190439237116128,0.48687642048511093
phihyd_surface,fine_tune_1440,40,0.03885192744157932,1.6642572621147613,0.7133267604455015
phihyd_surface,fine_tune_1440,50,0.05287667607405672,1.979659692690782,0.9730573908467044
phihyd_surface,fine_tune_1440,60,0.06928117304212517,2.378042170318516,1.2771815021463813
phihyd_surface,fine_tune_1440,70,0.08902141922326,2.902277778715726,1.6456702940992705
phihyd_surface,fine_tune_1440,80,0.11350557539198133,3.5916916066384403,2.102375802069096
phihyd_surface,fine_tune_1440,90,0.14485175275692233,4.54506337704436,2.68725280411225
phihyd_surface,fine_tune_1920,10,0.004010248693844511,0.411099920466073,0.07312335349660087
phihyd_surface,fine_tune_1920,20,0.007278249042833017,0.48762035401041315,0.13308621718886826
phihyd_surface,fine_tune_1920,30,0.011576889941675796,0.6180579340954488,0.21205674438726474
phihyd_surface,fine_tune_1920,40,0.017690603774799793,0.7577929266875149,0.32480193164105037
phihyd_surface,fine_tune_1920,50,0.026218113875775426,0.981584833085131,0.4824760437882521
phihyd_surface,fine_tune_1920,60,0.03786619158323716,1.2997383915475322,0.6980539924957082
phihyd_surface,fine_tune_1920,70,0.053557123064442914,1.7460702100474104,0.9900692129332351
phihyd_surface,fine_tune_1920,80,0.07454899440485019,2.3589766102903904,1.3808132452004094
phihyd_surface,fine_tune_1920,90,0.10267904388407866,3.2217957536944906,1.90487545610917
