field,method,lead_days,mean_rmse,ratio_to_persistence,ratio_to_climatology
sst,source_persistence,10,0.02126200570448957,1.0,0.5426209865933002
sst,source_persistence,20,0.03522640228685406,1.0,0.9001781530154109
sst,source_persistence,30,0.04509611564377944,1.0,1.1534317700018888
sst,source_persistence,40,0.05337705723941326,1.0,1.3664374754651962
sst,source_persistence,50,0.057734857665167914,1.0,1.4794538785394342
sst,source_persistence,60,0.05915493487070004,1.0,1.517044118144268
sst,source_persistence,70,0.05897258225552462,1.0,1.5145661638308283
sst,source_persistence,80,0.058395823215444884,1.0,1.5010251011271203
sst,source_persistence,90,0.05845660299614624,1.0,1.502461953733359
sst,source_climatology,10,0.03918389857712167,1.8429069732046874,1.0
sst,source_climatology,20,0.039132700753570705,1.110891212645193,1.0
sst,source_climatology,30,0.03909734135700597,0.8669780267959522,1.0
sst,source_climatology,40,0.03906293423432443,0.7318300456151903,1.0
sst,source_climatology,50,0.039024439019461475,0.675925092701932,1.0
sst,source_climatology,60,0.03899354947110017,0.6591766106467986,1.0
sst,source_climatology,70,0.038936946872207855,0.6602550775798901,1.0
sst,source_climatology,80,0.03890396181356024,0.6662113773108123,1.0
sst,source_climatology,90,0.03890721016322021,0.6655742579804915,1.0
sst,source_duration_5760,10,0.015459897634745748,0.7271137939484852,0.3945472042379246
sst,source_duration_5760,20,0.026322809993116945,0.7472466185665576,0.6726550809482551
sst,source_duration_5760,30,0.03566559469327331,0.7908795288490224,0.9122255748185877
sst,source_duration_5760,40,0.044830747824852114,0.8398879620465363,1.1476543865324775
sst,source_duration_5760,50,0.0547763275258519,0.9487566046066322,1.4036416384751864
sst,source_duration_5760,60,0.06704215323897424,1.1333315366759165,1.719313941621604
sst,source_duration_5760,70,0.08406239114701748,1.4254487073803255,2.1589363804746324
sst,source_duration_5760,80,0.10779795114088941,1.84598735329376,2.7708733536571515
sst,source_duration_5760,90,0.14040931454963154,2.4019410529018947,3.608825047095342
sst,loss_v3_480,10,0.012226305175917569,0.5750306601289232,0.31202370412055297
sst,loss_v3_480,20,0.02097834119124821,0.5955289166466199,0.5360821202542229
sst,loss_v3_480,30,0.029832364266945258,0.6615284673871981,0.7630279510450525
sst,loss_v3_480,40,0.03992651841016831,0.7480089850417388,1.0221075091457172
sst,loss_v3_480,50,0.052013274199432795,0.9008989768552419,1.3328384854806956
sst,loss_v3_480,60,0.0670594213185487,1.1336234494235546,1.7197567861384195
sst,loss_v3_480,70,0.08666889265317608,1.469647238400466,2.2258779800487645
sst,loss_v3_480,80,0.1124785443422971,1.9261402297099235,2.8911848330853527
sst,loss_v3_480,90,0.14660946779229023,2.5080052599354,3.7681824828160817
sst,loss_v3_960,10,0.011500159278512001,0.5408783836457954,0.29349196216087103
sst,loss_v3_960,20,0.019355467822471703,0.5494591149234351,0.4946110912292603
sst,loss_v3_960,30,0.02708028898815866,0.6005015864796355,0.6926376077821482
sst,loss_v3_960,40,0.036083569525982497,0.6760127176763622,0.9237291113240547
sst,loss_v3_960,50,0.047320165630016064,0.8196117136799465,1.212577728700149
sst,loss_v3_960,60,0.06182106350445085,1.0450702657280986,1.585417699670279
sst,loss_v3_960,70,0.08119126950839052,1.3767630041464638,2.0851986616943163
sst,loss_v3_960,80,0.1070323914013527,1.8328775160248811,2.751195158844872
sst,loss_v3_960,90,0.14140191700447488,2.4189212126095803,3.6343370910244555
sst,loss_v3_1440,10,0.011136785134052236,0.523788079489634,0.2842184044584751
sst,loss_v3_1440,20,0.019027797398329886,0.5401572730414982,0.4862377763843369
sst,loss_v3_1440,30,0.02723193362493206,0.6038642848985251,0.6965162509714306
sst,loss_v3_1440,40,0.03697816683669333,0.6927726770480127,0.9466305478967522
sst,loss_v3_1440,50,0.04907881922467991,0.8500725767665608,1.2576431707372993
sst,loss_v3_1440,60,0.06441535453691527,1.0889261340193066,1.651948986707566
sst,loss_v3_1440,70,0.08437929721894087,1.4308224939740726,2.1670753358211696
sst,loss_v3_1440,80,0.11047026779916551,1.8917494731018307,2.8395634441698516
sst,loss_v3_1440,90,0.14472294829233928,2.475733122943873,3.719694824820641
sst,loss_v3_1920,10,0.01119203631490193,0.5263866669238396,0.28562845253577274
sst,loss_v3_1920,20,0.019425293865303197,0.5514413225375676,0.4963954312182431
sst,loss_v3_1920,30,0.027913098620181834,0.6189690225355844,0.713938535239558
sst,loss_v3_1920,40,0.037747851783340725,0.7071924481342139,0.9663342634965668
sst,loss_v3_1920,50,0.049683902543727995,0.8605529580044821,1.2731484114083138
sst,loss_v3_1920,60,0.06463859707668976,1.0926999956635204,1.6576741013176106
sst,loss_v3_1920,70,0.08409459577804362,1.4259948023586086,2.159763477450978
sst,loss_v3_1920,80,0.10968463016604936,1.8782958116949586,2.8193691606960716
sst,loss_v3_1920,90,0.1435443149258693,2.455570586873351,3.6894013814839055
sst,loss_v3_2400,10,0.011591688753968035,0.5451832209564499,0.29582785722950194
sst,loss_v3_2400,20,0.02024072732914377,0.5745896831677668,0.5172330797356706
sst,loss_v3_2400,30,0.029077233156810205,0.6447835415913725,0.7437138216458232
sst,loss_v3_2400,40,0.03917493885038076,0.7339284118768212,1.0028672862971444
