method,field,lead_days,rmse_ratio_to_persistence
raw,sst,10,0.8781028633262534
raw,sst,20,0.9798574909487436
raw,sst,30,1.1396667459129282
raw,sst,40,1.3121543851427222
raw,sst,50,1.576665821668483
raw,sst,60,1.948988781326942
raw,sst,70,2.4477716437683776
raw,sst,80,3.0902816268020743
raw,sst,90,3.8766476155938294
raw,phihyd_surface,10,0.5557576977169228
raw,phihyd_surface,20,0.723885063416196
raw,phihyd_surface,30,0.9530346249817311
raw,phihyd_surface,40,1.1453503095270354
raw,phihyd_surface,50,1.4133805392650909
raw,phihyd_surface,60,1.7642346936193911
raw,phihyd_surface,70,2.2377951567650762
raw,phihyd_surface,80,2.8760130199596485
raw,phihyd_surface,90,3.77153210371922
raw,ssh,10,0.5463271947990035
raw,ssh,20,0.7330667404118931
raw,ssh,30,0.9705884475718507
raw,ssh,40,1.1630939855372897
raw,ssh,50,1.4325292617430387
raw,ssh,60,1.7850487955724972
raw,ssh,70,2.261479612261869
raw,ssh,80,2.9039631801357046
raw,ssh,90,3.8023847459879523
ssh_zero_mean,sst,10,0.8781028633262534
ssh_zero_mean,sst,20,0.9800164096798979
ssh_zero_mean,sst,30,1.1400414607991516
ssh_zero_mean,sst,40,1.3127159718352144
ssh_zero_mean,sst,50,1.5773983638876692
ssh_zero_mean,sst,60,1.9498731771355224
ssh_zero_mean,sst,70,2.4487835331232612
ssh_zero_mean,sst,80,3.0913904520095685
ssh_zero_mean,sst,90,3.8778204060347896
ssh_zero_mean,phihyd_surface,10,0.5439970364473582
ssh_zero_mean,phihyd_surface,20,0.7071392228261804
ssh_zero_mean,phihyd_surface,30,0.9341697178323003
ssh_zero_mean,phihyd_surface,40,1.1266635291186033
ssh_zero_mean,phihyd_surface,50,1.3946349881740892
ssh_zero_mean,phihyd_surface,60,1.7454834191711814
ssh_zero_mean,phihyd_surface,70,2.219230412585399
ssh_zero_mean,phihyd_surface,80,2.858020723106676
ssh_zero_mean,phihyd_surface,90,3.754435630897669
ssh_zero_mean,ssh,10,0.5328311566802039
ssh_zero_mean,ssh,20,0.7141151296003596
ssh_zero_mean,ssh,30,0.9494098297549254
ssh_zero_mean,ssh,40,1.1424126248128803
ssh_zero_mean,ssh,50,1.412087095748197
ssh_zero_mean,ssh,60,1.7649047377677016
ssh_zero_mean,ssh,70,2.241815110924057
ssh_zero_mean,ssh,80,2.885143665581317
ssh_zero_mean,ssh,90,3.7847041619997803
conservation_means,sst,10,0.8741677683956954
conservation_means,sst,20,0.9765839487051422
conservation_means,sst,30,1.1390406159108803
conservation_means,sst,40,1.3153654620028006
conservation_means,sst,50,1.5843728905873598
conservation_means,sst,60,1.9616295922309488
conservation_means,sst,70,2.465274080781501
conservation_means,sst,80,3.111888453914308
conservation_means,sst,90,3.900878696232691
conservation_means,phihyd_surface,10,0.5454771690579713
conservation_means,phihyd_surface,20,0.7084062712362075
conservation_means,phihyd_surface,30,0.93564770316471
conservation_means,phihyd_surface,40,1.1282910998732898
conservation_means,phihyd_surface,50,1.3963573209587237
conservation_means,phihyd_surface,60,1.7471402901828192
conservation_means,phihyd_surface,70,2.220609889541397
conservation_means,phihyd_surface,80,2.85886530108321
conservation_means,phihyd_surface,90,3.754488536482725
conservation_means,ssh,10,0.5328311566802039
conservation_means,ssh,20,0.7144891901035217
conservation_means,ssh,30,0.9501928485229696
conservation_means,ssh,40,1.1433678447147841
conservation_means,ssh,50,1.4130461384435669
conservation_means,ssh,60,1.7656657025143199
conservation_means,ssh,70,2.242154452718961
