field,method,lead_days,mean_rmse,ratio_to_persistence,ratio_to_climatology
sst,persistence,10,0.02126200570448957,1.0,0.5426209865933002
sst,persistence,20,0.03522640228685406,1.0,0.9001781530154109
sst,persistence,30,0.04509611564377944,1.0,1.1534317700018888
sst,persistence,40,0.05337705723941326,1.0,1.3664374754651962
sst,persistence,50,0.057734857665167914,1.0,1.4794538785394342
sst,persistence,60,0.05915493487070004,1.0,1.517044118144268
sst,persistence,70,0.05897258225552462,1.0,1.5145661638308283
sst,persistence,80,0.058395823215444884,1.0,1.5010251011271203
sst,persistence,90,0.05845660299614624,1.0,1.502461953733359
sst,climatology,10,0.03918389857712167,1.8429069732046874,1.0
sst,climatology,20,0.039132700753570705,1.110891212645193,1.0
sst,climatology,30,0.03909734135700597,0.8669780267959522,1.0
sst,climatology,40,0.03906293423432443,0.7318300456151903,1.0
sst,climatology,50,0.039024439019461475,0.675925092701932,1.0
sst,climatology,60,0.03899354947110017,0.6591766106467986,1.0
sst,climatology,70,0.038936946872207855,0.6602550775798901,1.0
sst,climatology,80,0.03890396181356024,0.6662113773108123,1.0
sst,climatology,90,0.03890721016322021,0.6655742579804915,1.0
sst,duration_5760,10,0.015459897634745748,0.7271137939484852,0.3945472042379246
sst,duration_5760,20,0.026322809993116945,0.7472466185665576,0.6726550809482551
sst,duration_5760,30,0.03566559469327331,0.7908795288490224,0.9122255748185877
sst,duration_5760,40,0.044830747824852114,0.8398879620465363,1.1476543865324775
sst,duration_5760,50,0.0547763275258519,0.9487566046066322,1.4036416384751864
sst,duration_5760,60,0.06704215323897424,1.1333315366759165,1.719313941621604
sst,duration_5760,70,0.08406239114701748,1.4254487073803255,2.1589363804746324
sst,duration_5760,80,0.10779795114088941,1.84598735329376,2.7708733536571515
sst,duration_5760,90,0.14040931454963154,2.4019410529018947,3.608825047095342
sst,truncated_480,10,0.016394831902450984,0.7710858575768861,0.4184073687865108
sst,truncated_480,20,0.029094719534946814,0.8259350273134338,0.7434886673977399
sst,truncated_480,30,0.041678898874670266,0.9242237004157464,1.0660289786482298
sst,truncated_480,40,0.05484624779610722,1.0275247575021638,1.4040483356192446
sst,truncated_480,50,0.0684914428671753,1.1863100670376634,1.7550910298292473
sst,truncated_480,60,0.08263496032881516,1.3969242043700565,2.1191956477329557
sst,truncated_480,70,0.09896865525731334,1.6782147138900612,2.541767221300921
sst,truncated_480,80,0.12050515574713548,2.06359203641235,3.0975034451409673
sst,truncated_480,90,0.1511065132226105,2.584934900041527,3.8837663401899376
sst,truncated_960,10,0.019208218245249657,0.9034057516593438,0.490206920259455
sst,truncated_960,20,0.03714398388164463,1.0544359193759103,0.9491801783769138
sst,truncated_960,30,0.05584271582602351,1.238304342376913,1.4282995694288274
sst,truncated_960,40,0.07372455369267199,1.3812030393881338,1.8873275942463776
sst,truncated_960,50,0.08893716676781575,1.5404414311299592,2.279012049948055
sst,truncated_960,60,0.10058469481214329,1.7003601649126956,2.579521386907622
sst,truncated_960,70,0.11119021722288043,1.8854561386018331,2.855648070913465
sst,truncated_960,80,0.1270309624158674,2.1753432937695014,3.2652448875165687
sst,truncated_960,90,0.15545867332429797,2.659386029231747,3.9956263292107295
sst,truncated_1440,10,0.0159440566095765,0.7498848806258122,0.40690327375657726
sst,truncated_1440,20,0.028873955158309803,0.8196680127361491,0.737847237790639
sst,truncated_1440,30,0.04260336969185759,0.9447237103165957,1.0896743413532226
sst,truncated_1440,40,0.05731295177506076,1.0737375707692867,1.4671952555141166
sst,truncated_1440,50,0.07180056357411323,1.2436258869904742,1.8398871419601013
sst,truncated_1440,60,0.08583654988971022,1.451046308770865,2.201301267875792
sst,truncated_1440,70,0.10098803709778521,1.7124574375971902,2.5936300919851463
sst,truncated_1440,80,0.12062968677944608,2.0657245696219793,3.1007044310176086
sst,truncated_1440,90,0.14891897085364217,2.5475132529247326,3.827541739150918
sst,truncated_1920,10,0.017172359754503878,0.8076547430743024,0.43825041351373634
sst,truncated_1920,20,0.03247309470273278,0.9218396598749805,0.8298199224026147
sst,truncated_1920,30,0.04816929115741341,1.0681472332985267,1.23203495392614
sst,truncated_1920,40,0.06313428913277608,1.1827982357588298,1.6162198352549835
sst,truncated_1920,50,0.07625614602670626,1.3207990650804435,1.9540612996045208
sst,truncated_1920,60,0.08739870066444079,1.4774540933140328,2.2413630420902257
sst,truncated_1920,70,0.09907255078907366,1.6799764738094445,2.5444355232636124
sst,truncated_1920,80,0.11625355742871761,1.9907854881985834,2.988218988745682
sst,truncated_1920,90,0.14398365469166527,2.4630862436730614,3.700693369882788
phihyd_surface,persistence,10,0.009754924518832316,1.0,0.17787245838846022
phihyd_surface,persistence,20,0.014926056681131875,1.0,0.272929987631374
phihyd_surface,persistence,30,0.018731075685678257,1.0,0.343101726697543
phihyd_surface,persistence,40,0.02334490485696329,1.0,0.4286156814115875
phihyd_surface,persistence,50,0.026709982664841744,1.0,0.49152760670906565
phihyd_surface,persistence,60,0.029133702466195382,1.0,0.5370726886543459
phihyd_surface,persistence,70,0.030672949321430037,1.0,0.5670271488718385
phihyd_surface,persistence,80,0.03160226094639963,1.0,0.585344186617616
phihyd_surface,persistence,90,0.0318701282557514,1.0,0.5912464978342639
phihyd_surface,climatology,10,0.05484224262267903,5.622005840927179,1.0
phihyd_surface,climatology,20,0.05468822539680534,3.6639433016449066,1.0
phihyd_surface,climatology,30,0.05459335884424271,2.9145874887465584,1.0
phihyd_surface,climatology,40,0.054465820709312406,2.3330924260788497,1.0
phihyd_surface,climatology,50,0.05434075787456499,2.0344737230433902,1.0
phihyd_surface,climatology,60,0.05424536209277533,1.8619453588405963,1.0
phihyd_surface,climatology,70,0.05409432226033122,1.763583987097633,1.0
phihyd_surface,climatology,80,0.05398919416798486,1.7083965688263743,1.0
phihyd_surface,climatology,90,0.05390328462408097,1.691341942257587,1.0
phihyd_surface,duration_5760,10,0.00367732348041264,0.3769709825343501,0.06705275540449815
phihyd_surface,duration_5760,20,0.00659868170041591,0.4420914271856776,0.12066000775372349
phihyd_surface,duration_5760,30,0.01043947636736212,0.5573345889229481,0.19122245980772884
phihyd_surface,duration_5760,40,0.015957507444545625,0.6835541863339759,0.29298204335728034
phihyd_surface,duration_5760,50,0.02371383416638882,0.8878266400974963,0.4363913035796734
phihyd_surface,duration_5760,60,0.034331086319353846,1.1783976430455116,0.6328851904543971
phihyd_surface,duration_5760,70,0.048600397403869365,1.5844709582561758,0.8984380499302291
phihyd_surface,duration_5760,80,0.0676513453255649,2.140712192722788,1.2530534372317337
phihyd_surface,duration_5760,90,0.09311342046216682,2.9216518902889335,1.7274164480241887
phihyd_surface,truncated_480,10,0.003652456896034656,0.3744218511361544,0.06659933513594588
phihyd_surface,truncated_480,20,0.006775320806816496,0.453925705332556,0.12388993714197723
phihyd_surface,truncated_480,30,0.01091647542219747,0.5828002409143104,0.19995976897744397
phihyd_surface,truncated_480,40,0.016713601628456403,0.7159421608638978,0.30686403712996396
phihyd_surface,truncated_480,50,0.024644145842089696,0.9226567516469675,0.4535112649509947
phihyd_surface,truncated_480,60,0.03529934397795134,1.2116326106820827,0.6507347838803105
phihyd_surface,truncated_480,70,0.049489836532760546,1.6134684674154844,0.914880424873217
phihyd_surface,truncated_480,80,0.06830015136273923,2.161242560416251,1.265070768610224
phihyd_surface,truncated_480,90,0.09335477048600162,2.929224813180803,1.7318939121623755
phihyd_surface,truncated_960,10,0.0043449410314982135,0.4454100104116758,0.07922617354275444
phihyd_surface,truncated_960,20,0.008525372841567905,0.5711738219743521,0.15589046416682453
phihyd_surface,truncated_960,30,0.01352453819062147,0.7220374535650562,0.24773229705846786
phihyd_surface,truncated_960,40,0.01983833648436875,0.849792989344799,0.36423460118681095
phihyd_surface,truncated_960,50,0.028012739501341626,1.04877415507329,0.5155014504214968
phihyd_surface,truncated_960,60,0.038752416528209495,1.3301576266585053,0.7143913328835672
phihyd_surface,truncated_960,70,0.052942195824450915,1.7260223420205045,0.9787015274849798
phihyd_surface,truncated_960,80,0.07175809217409955,2.270663238171722,1.3291195262301487
phihyd_surface,truncated_960,90,0.0969227496534586,3.0411785254101567,1.7980861524375258
phihyd_surface,truncated_1440,10,0.0036352791741524858,0.37266092291482295,0.06628611450417202
phihyd_surface,truncated_1440,20,0.006836187301410569,0.45800357371362777,0.12500290970878553
phihyd_surface,truncated_1440,30,0.011019474429216374,0.5882990712403048,0.20184642715710946
phihyd_surface,truncated_1440,40,0.01678546934078137,0.7190206789716095,0.3081835382664387
phihyd_surface,truncated_1440,50,0.024677557539608742,0.9239076583936434,0.4541261201504045
phihyd_surface,truncated_1440,60,0.03538687563397818,1.2146370916995024,0.6523484085783471
phihyd_surface,truncated_1440,70,0.04976899530738592,1.6225696063930244,0.9200410177591377
phihyd_surface,truncated_1440,80,0.06891787535752411,2.1807893895444765,1.276512391407239
phihyd_surface,truncated_1440,90,0.094405814729355,2.9622037907022913,1.7513926171241105
phihyd_surface,truncated_1920,10,0.0037428937615240337,0.38369274455155555,0.06824837173920066
phihyd_surface,truncated_1920,20,0.0070169798762503045,0.4701161215018374,0.128308787226806
phihyd_surface,truncated_1920,30,0.011184717320699106,0.5971209293255335,0.20487322189883211
phihyd_surface,truncated_1920,40,0.016747229791211862,0.7173826534665236,0.3074814548484068
phihyd_surface,truncated_1920,50,0.024202020556010582,0.9061039409758815,0.4453751015375275
phihyd_surface,truncated_1920,60,0.03424636296651982,1.175489555653175,0.6313233361397531
phihyd_surface,truncated_1920,70,0.04777205644382371,1.5574653726059258,0.8831251496953536
phihyd_surface,truncated_1920,80,0.06597916274848911,2.0877988084585435,1.222080895358394
phihyd_surface,truncated_1920,90,0.09062451562947697,2.843556665421406,1.6812429198236838
