metric,model_or_method,field,lead_days,mean,p10,p90
rmse,model,surface_speed,0,0.0,0.0,0.0
rmse,model,surface_speed,10,0.000755251629743725,0.000625604426022619,0.0009053089306689799
rmse,model,surface_speed,20,0.0009778769027131299,0.0008412147872149944,0.001103791780769825
rmse,model,surface_speed,30,0.0011240021131622294,0.0010165245737880468,0.0012079179286956787
rmse,model,surface_speed,40,0.0012861661962233484,0.0010661861626431346,0.0015130348037928343
rmse,model,surface_speed,50,0.0013950833585113288,0.0011082130018621682,0.0015705979894846678
rmse,model,surface_speed,60,0.0015465146473919351,0.0011926601408049464,0.0017351243644952775
rmse,model,surface_speed,70,0.0016508062758172552,0.0013496453408151864,0.0018284529447555541
rmse,model,surface_speed,80,0.001766721399811407,0.0014230689266696572,0.0019691948778927325
rmse,model,surface_speed,90,0.0018711332076539597,0.0016016184817999601,0.002187734330072999
rmse,model,surface_speed,100,0.0020339250564575194,0.0017635348485782743,0.0024840998928993938
rmse,model,surface_speed,110,0.0021230005736773212,0.0016815785551443697,0.00261590052396059
rmse,model,surface_speed,120,0.0022608509908119837,0.0018134975573047996,0.0027589506469666955
rmse,model,surface_speed,130,0.002408691286109388,0.0019043773645535111,0.002908899029716849
rmse,model,surface_speed,140,0.002533768148471912,0.0020570777822285892,0.0031611211597919464
rmse,model,surface_speed,150,0.002684069999183218,0.0021773803047835825,0.003593578841537237
rmse,model,surface_speed,160,0.0028403537503133218,0.0022833438124507666,0.0037592848762869834
rmse,model,surface_speed,170,0.002961765245224039,0.002400033315643668,0.003708800626918673
rmse,model,surface_speed,180,0.003087724419310689,0.0025267719756811857,0.003979815635830164
rmse,model,surface_speed,190,0.003219624577711026,0.00270377304404974,0.004264737199991941
rmse,model,surface_speed,200,0.0033548805862665177,0.002863714937120676,0.004138652607798576
rmse,model,surface_speed,210,0.003487005907421311,0.0030298138968646525,0.00421977024525404
rmse,model,surface_speed,220,0.0036077513359487057,0.0031022299081087112,0.004421478509902954
rmse,model,surface_speed,230,0.003744392469525337,0.0032635766081511976,0.004679724480956793
rmse,model,surface_speed,240,0.003840362668658296,0.0033274785615503787,0.004840882960706949
rmse,model,surface_speed,250,0.003968481005479892,0.0034659948199987412,0.004845146089792252
rmse,model,surface_speed,260,0.004055657175680002,0.0035413188859820368,0.004854651913046837
rmse,model,surface_speed,270,0.004169771835828821,0.0036814781837165357,0.00489593930542469
rmse,model,surface_speed,280,0.004235127009451389,0.0039023369550704955,0.00482500847429037
rmse,model,surface_speed,290,0.004358308513959249,0.003992905188351869,0.004954406898468732
rmse,model,surface_speed,300,0.004504913308968146,0.00419226186349988,0.005030968878418207
rmse,model,surface_speed,310,0.0046453909948468205,0.004387879930436611,0.005142657086253166
rmse,model,surface_speed,320,0.004774998997648557,0.004512808471918106,0.005275318026542663
rmse,model,surface_speed,330,0.004969996648530165,0.004707813449203968,0.005435871612280607
rmse,model,surface_speed,340,0.0051128562850256765,0.004775376338511705,0.005505847372114658
rmse,model,surface_speed,350,0.005226237575213114,0.004876065626740455,0.005634733475744724
rmse,model,surface_speed,360,0.005367755486319462,0.005050614010542631,0.005748631339520216
rmse,model,surface_speed,370,0.00554032496487101,0.005098108667880297,0.0058335205540061
rmse,model,surface_speed,380,0.0056202862411737445,0.00521186999976635,0.005867732409387827
rmse,model,surface_speed,390,0.00573584595695138,0.005503917019814253,0.0059901423752307895
rmse,model,surface_speed,400,0.005869873675207297,0.005634483881294727,0.00625797500833869
rmse,model,surface_speed,410,0.005988522929449876,0.005574090126901865,0.006519860681146383
rmse,model,surface_speed,420,0.00608461145311594,0.00572654576972127,0.006605162844061851
rmse,model,surface_speed,430,0.006118917589386304,0.005856814328581095,0.0064310702495276924
rmse,model,surface_speed,440,0.006226041043798129,0.005867947731167078,0.0065655970014631745
rmse,model,surface_speed,450,0.006340224420030912,0.005924472864717245,0.006964265927672386
