metric,model_or_method,field,lead_days,mean,p10,p90
rmse,model,surface_speed,0,0.0,0.0,0.0
rmse,model,surface_speed,10,0.019266328339775405,0.016670557111501692,0.023158632591366766
rmse,model,surface_speed,20,0.026215764259298644,0.021585256233811377,0.03087111935019493
rmse,model,surface_speed,30,0.03062498358388742,0.024409693107008933,0.036864823848009105
rmse,model,surface_speed,40,0.03355582381288211,0.026668812334537505,0.038643428683280946
rmse,model,surface_speed,50,0.03640547009805838,0.030136218294501305,0.042107339948415756
rmse,model,surface_speed,60,0.03929919016857942,0.03036837764084339,0.04855029881000519
rmse,model,surface_speed,70,0.04175160291294257,0.032116986066102984,0.05490583777427673
rmse,model,surface_speed,80,0.043935021261374156,0.03450684547424317,0.05470471009612084
rmse,model,surface_speed,90,0.044589684903621675,0.03190479725599289,0.05479590073227882
rmse,model,surface_speed,100,0.04512902225057284,0.03565663322806358,0.056394151598215106
rmse,model,surface_speed,110,0.04710763692855835,0.03836811110377312,0.060466372221708295
rmse,model,surface_speed,120,0.04796877826253573,0.03780127018690109,0.061963681131601334
rmse,model,surface_speed,130,0.04975377445419629,0.039267121255397795,0.06258397698402404
rmse,model,surface_speed,140,0.05183342595895132,0.041141248494386676,0.06079158484935761
rmse,model,surface_speed,150,0.05169455682237943,0.04150928929448128,0.05830141454935074
rmse,model,surface_speed,160,0.053039372464021045,0.04388245716691017,0.05972056686878204
rmse,model,surface_speed,170,0.05403863588968913,0.0474709190428257,0.060336599498987196
rmse,model,surface_speed,180,0.05344733297824859,0.044764444231987,0.05948433205485344
rmse,model,surface_speed,190,0.05484840994079908,0.04704983308911324,0.061523067951202395
rmse,model,surface_speed,200,0.0554642915725708,0.050484301149845125,0.06216445565223694
rmse,model,surface_speed,210,0.05561198169986407,0.04954468682408333,0.060494878143072126
rmse,model,surface_speed,220,0.05650568505128225,0.05060968175530434,0.06156662479043007
rmse,model,surface_speed,230,0.05715217888355255,0.05331834778189659,0.06294775009155273
rmse,model,surface_speed,240,0.05741025134921074,0.05113116949796677,0.0643963173031807
rmse,model,surface_speed,250,0.0562382052342097,0.045586059987545016,0.0655885249376297
rmse,model,surface_speed,260,0.05706280196706454,0.04481058716773987,0.06666756570339202
rmse,model,surface_speed,270,0.0581354891260465,0.04744842872023582,0.0660039022564888
rmse,model,surface_speed,280,0.05861409703890483,0.053102421760559085,0.06576412618160248
rmse,model,surface_speed,290,0.058259541044632594,0.050717801600694654,0.06528234034776688
rmse,model,surface_speed,300,0.05879145090778669,0.05137405470013619,0.06738803833723069
rmse,model,surface_speed,310,0.058552190909783045,0.05194263681769371,0.06507346034049988
rmse,model,surface_speed,320,0.057175259292125705,0.051461948454380034,0.06519436538219452
rmse,model,surface_speed,330,0.056050783644119896,0.04851489067077637,0.06498688906431198
rmse,model,surface_speed,340,0.05679497346282005,0.049396052956581116,0.0628913938999176
rmse,model,surface_speed,350,0.05631352961063385,0.04965084195137024,0.0631084531545639
rmse,model,surface_speed,360,0.05614087134599686,0.04811854138970375,0.06242337077856064
rmse,model,surface_speed,370,0.05596531704068184,0.04741412475705147,0.06300418823957443
rmse,model,surface_speed,380,0.05577193647623062,0.04750892445445061,0.06279260516166688
rmse,model,surface_speed,390,0.05664774576822917,0.04987943693995476,0.06554028838872909
rmse,model,surface_speed,400,0.05806470240155856,0.0531420610845089,0.0676821008324623
rmse,model,surface_speed,410,0.05703966617584229,0.04992043301463127,0.06883829236030578
rmse,model,surface_speed,420,0.055517372240622836,0.049619865417480466,0.0663555309176445
rmse,model,surface_speed,430,0.056249233335256575,0.050182762742042544,0.06686873584985734
rmse,model,surface_speed,440,0.0571595532198747,0.05105193629860878,0.06673986166715622
rmse,model,surface_speed,450,0.058588837087154386,0.05296555683016777,0.06539425253868103
rmse,model,surface_speed,460,0.05884986370801926,0.05324967131018639,0.06468721330165864
rmse,model,surface_speed,470,0.05803336923321088,0.05072604343295097,0.06519545167684555
rmse,model,surface_speed,480,0.05851775606473287,0.04890349581837654,0.06597639322280884
rmse,model,surface_speed,490,0.060114636272192004,0.05143861323595047,0.06646755039691925
rmse,model,surface_speed,500,0.059980714321136476,0.050837405025959015,0.06816762834787368
rmse,model,surface_speed,510,0.05995362003644308,0.049145040661096574,0.06654407978057861
rmse,model,surface_speed,520,0.06028883904218674,0.04901681840419769,0.0663168266415596
rmse,model,surface_speed,530,0.059709584712982176,0.049919769167900085,0.06524814665317535
rmse,model,surface_speed,540,0.05883491039276123,0.049809496849775314,0.06563628911972046
rmse,model,surface_speed,550,0.05903077448407809,0.050649359822273254,0.06542863994836808
rmse,model,surface_speed,560,0.05886797582109769,0.05185235068202019,0.0657455489039421
rmse,model,surface_speed,570,0.05938954974214236,0.05249226167798042,0.06700982004404069
rmse,model,surface_speed,580,0.059530218193928404,0.052422253787517546,0.06721594333648681
rmse,model,surface_speed,590,0.05927328368028005,0.048080413788557055,0.06653769463300704
rmse,model,surface_speed,600,0.05927546396851539,0.04831442683935165,0.06642618626356125
rmse,model,surface_speed,610,0.06026541118820508,0.049784211069345476,0.0661367729306221
rmse,model,surface_speed,620,0.061757805198431014,0.051208584755659106,0.06765385419130325
rmse,model,surface_speed,630,0.062248798459768294,0.053767985105514525,0.06674214601516723
rmse,model,surface_speed,640,0.06213214521606763,0.051257990300655365,0.06624079048633576
rmse,model,surface_speed,650,0.06316195527712504,0.0545596107840538,0.06839689612388611
rmse,model,surface_speed,660,0.06239505782723427,0.05212111473083496,0.07036132514476776
rmse,model,surface_speed,670,0.06265747969349225,0.05419047400355339,0.06861495673656463
rmse,model,surface_speed,680,0.06387346958120664,0.05697623044252396,0.07000031173229218
rmse,model,surface_speed,690,0.06464744557936987,0.05764557346701622,0.06978986114263534
rmse,model,surface_speed,700,0.064274150878191,0.05808254107832909,0.06996191889047623
rmse,model,surface_speed,710,0.06341631611188253,0.055381038784980775,0.06954958587884903
rmse,model,surface_speed,720,0.06344248379270236,0.05235818922519684,0.06915817707777024
rmse,model,surface_speed,730,0.06390497709314029,0.055033235996961596,0.0707229197025299
rmse,model,surface_speed,740,0.06370932534337044,0.05558530166745186,0.06959642469882965
rmse,model,surface_speed,750,0.0647357185681661,0.05778032913804054,0.0703026920557022
rmse,model,surface_speed,760,0.06377317135532697,0.05968059152364731,0.06885592639446259
rmse,model,surface_speed,770,0.06340043693780899,0.05587281435728073,0.067218117415905
rmse,model,surface_speed,780,0.06258346016208331,0.05610506683588028,0.06814737915992737
rmse,model,surface_speed,790,0.0636435347298781,0.05543976053595543,0.06986760348081589
rmse,model,surface_speed,800,0.06401018152634302,0.05889231488108635,0.06830091774463654
rmse,model,surface_speed,810,0.06397485807538032,0.05752469897270203,0.06968869417905807
rmse,model,surface_speed,820,0.06516344621777534,0.05937528610229492,0.06893008947372437
rmse,model,surface_speed,830,0.06467816432317099,0.05982494503259659,0.06720094680786133
rmse,model,surface_speed,840,0.06501338308056195,0.06042833104729652,0.06828237175941468
rmse,model,surface_speed,850,0.06619079038500786,0.060379453003406525,0.07079539597034454
rmse,model,surface_speed,860,0.06548413336277008,0.06012542098760605,0.0707725465297699
rmse,model,surface_speed,870,0.06504467328389486,0.05999524742364883,0.06875496506690978
rmse,model,surface_speed,880,0.06535452306270599,0.060821615159511566,0.06869128346443176
rmse,model,surface_speed,890,0.06559629688660304,0.06256416365504265,0.07034052461385727
rmse,model,surface_speed,900,0.06503900388876598,0.060020632296800616,0.07111604958772659
rmse,model,surface_speed,910,0.06549407069881757,0.05947145596146584,0.07280525118112564
rmse,model,surface_speed,920,0.06553862591584524,0.06138029396533966,0.07247227877378463
rmse,model,surface_speed,930,0.06421416426698366,0.05561315193772316,0.07151889652013779
rmse,model,surface_speed,940,0.06307200094064076,0.05598572343587875,0.07143992930650711
rmse,model,surface_speed,950,0.06268685534596444,0.053324759006500244,0.06920710057020188
rmse,model,surface_speed,960,0.062282249828179675,0.05330969840288162,0.06926705688238144
rmse,model,surface_speed,970,0.06260584592819214,0.053226019442081454,0.06860773712396621
rmse,model,surface_speed,980,0.06263008564710618,0.05478574335575104,0.06941556185483932
rmse,model,surface_speed,990,0.0622227688630422,0.052994937449693684,0.06920732706785201
rmse,model,surface_speed,1000,0.06229693392912547,0.053356156498193745,0.06797297894954682
rmse,model,surface_speed,1010,0.062174502511819205,0.05598988011479378,0.06770600378513336
rmse,model,surface_speed,1020,0.061859764407078424,0.05451823472976684,0.06624200940132141
rmse,model,surface_speed,1030,0.061489326506853105,0.05391568094491959,0.06923271119594573
rmse,model,surface_speed,1040,0.06291902090112368,0.053055717051029204,0.07168198525905609
rmse,model,surface_speed,1050,0.06299983436862627,0.053535349667072296,0.07039436846971511
rmse,model,surface_speed,1060,0.06332763781150182,0.05471726655960083,0.07066573202610016
rmse,model,surface_speed,1070,0.06492828329404195,0.05472804978489876,0.07206266969442368
